Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
DECK,2026-05-29,Bullish,114.06,9.45,2.26,0.02,1.06
OC,2026-05-26,Bullish,126.8,7.84,1.25,0.82,65.54
PFGC,2026-05-08,Bullish,96.41,7.49,2.05,2.46,119.91
USFD,2026-05-11,Bearish,81.545,-9.51,2.31,3.53,153.08
TREX,2026-05-28,Bullish,42.5,7.71,2.19,1.48,67.48
SCI,2026-05-08,Bearish,76.2,-6.52,1.4,1.09,78.18
NLY,2026-05-15,Bearish,21.645,-3.0,5.37,6.48,120.65
TXRH,2026-05-15,Bullish,185.11,9.66,1.3,0.97,74.57
WTRG,2026-04-30,Bearish,36.84,-7.03,2.47,3.82,154.4
DBX,2026-05-08,Bullish,26.41,6.71,3.64,10.1,277.81
CHDN,2026-05-11,Bearish,88.64,-4.34,1.17,1.13,97.14
GNTX,2026-04-29,Bullish,24.25,7.23,2.12,1.93,90.67
SF,2026-05-11,Bearish,70.79,-8.32,1.42,2.62,184.7
BWXT,2026-05-19,Bearish,194.19,-7.87,1.06,1.07,100.92
ORI,2026-04-24,Bearish,37.515,-8.7,1.41,2.31,163.72
NYT,2026-05-15,Bearish,75.435,-4.12,2.1,1.86,88.19
RRC,2026-05-27,Bearish,39.02,-6.16,2.41,2.77,115.04
FLR,2026-05-18,Bearish,45.645,-4.18,3.23,3.08,95.34
GXO,2026-05-04,Bearish,49.99,-9.94,1.2,4.42,367.22
EQH,2026-05-05,Bullish,41.835,1.87,4.18,11.9,284.68
SEIC,2026-04-23,Bullish,88.43,9.69,1.08,2.45,227.06
FNF,2026-05-12,Bearish,47.73,-4.59,1.82,2.65,145.5
FNF,2026-05-12,Bearish,47.73,-4.59,1.82,2.65,145.5
PNFP,2026-04-20,Bullish,97.21,6.6,1.35,1.72,127.4
AR,2026-05-11,Bearish,35.84,-5.85,4.91,3.76,76.58
GMED,2026-05-08,Bearish,81.995,-8.4,1.33,6.04,455.01
CBSH,2026-05-01,Bullish,52.45,3.04,1.25,1.15,92.19
ADC,2026-05-08,Bearish,73.8,-3.93,1.07,0.77,71.98
TMHC,2026-04-29,Bearish,59.495,-2.64,1.52,1.0,65.83
PBF,2026-05-28,Bearish,39.99,-2.59,3.15,1.77,56.22
STWD,2026-05-13,Bearish,17.265,-3.31,2.78,3.66,131.71
SON,2026-04-30,Bearish,49.51,-5.34,1.55,1.63,105.58
FLS,2026-05-05,Bearish,75.58,-3.77,2.9,3.56,122.77
MTG,2026-05-12,Bearish,25.585,-5.26,2.32,1.99,85.8
SFM,2026-05-07,Bullish,82.58,7.59,2.1,1.71,81.44
ASH,2026-05-28,Bullish,57.805,3.32,1.09,0.56,51.31
HALO,2026-05-20,Bullish,67.28,0.26,1.81,1.43,78.78
BYD,2026-05-14,Bearish,83.19,-1.15,1.09,1.04,96.06
TEX,2026-05-20,Bearish,58.44,-4.15,1.25,1.27,102.12
POR,2026-05-01,Bearish,50.22,-2.94,1.2,2.03,168.52
EQH,2026-05-05,Bullish,42.0,2.28,4.18,11.9,284.68
GME,2026-05-15,Bearish,21.3,-9.91,10.56,5.35,50.63
NVST,2026-05-11,Bearish,23.74,-8.65,3.15,5.03,159.52
KRC,2026-05-04,Bullish,34.275,8.74,2.39,1.9,79.67
IRT,2026-05-06,Bullish,16.215,1.38,2.21,2.39,107.98
NEOG,2026-04-29,Bearish,9.225,-2.26,2.89,2.06,71.16
WEN,2026-05-15,Bullish,7.68,5.83,12.79,9.96,77.85
ADNT,2026-05-27,Bullish,23.47,8.76,1.01,0.96,95.81
LEG,2026-05-08,Bearish,10.44,-3.66,4.7,2.36,50.25
CRI,2026-05-26,Bullish,38.785,8.13,1.16,0.82,70.06
GO,2026-05-28,Bullish,8.53,7.4,3.71,2.71,73.25
SMG,2026-05-04,Bearish,58.79,-7.51,1.03,1.42,138.04
MPW,2026-05-07,Bullish,5.08,0.13,5.34,9.56,179.05
SHC,2026-05-29,Bullish,15.7,0.84,4.45,0.08,1.86
UAA,2026-05-12,Bearish,5.97,-3.71,8.45,33.43,395.87
UA,2026-05-12,Bearish,5.83,-3.18,2.68,8.43,314.42
MSFT,2026-04-29,Bullish,443.755,8.69,32.28,38.29,118.61
TJX,2026-05-07,Bearish,154.71,-1.55,4.21,4.67,110.92
DE,2026-05-20,Bearish,543.98,-5.38,1.0,1.44,143.53
ADP,2026-05-22,Bullish,221.99,4.02,3.03,2.28,75.23
AMT,2026-05-22,Bullish,186.35,4.12,2.99,2.07,69.32
SYF,2026-05-19,Bearish,72.12,-0.6,3.94,4.31,109.15
CI,2026-04-27,Bullish,280.64,2.09,1.4,1.47,105.08
GILD,2026-04-20,Bearish,134.9,-3.4,5.31,3.87,72.87
CB,2026-05-28,Bearish,312.76,-3.62,1.46,1.37,93.82
CL,2026-05-18,Bullish,90.68,4.45,5.32,4.65,87.39
SO,2026-05-11,Bearish,92.0,-2.5,4.9,4.43,90.47
NSC,2026-04-21,Bullish,304.62,2.92,1.42,0.9,63.63
CME,2026-04-20,Bearish,278.65,-6.83,2.22,2.07,93.38
DUK,2026-05-08,Bearish,123.36,-3.27,3.08,2.59,84.0
AEP,2026-05-28,Bearish,127.23,-2.55,4.93,4.5,91.23
KDP,2026-04-30,Bullish,29.83,8.58,12.57,10.52,83.73
ORLY,2026-05-13,Bearish,88.08,-5.44,5.63,6.41,113.92
KHC,2026-05-20,Bullish,24.365,5.93,14.63,13.96,95.43
AIG,2026-05-28,Bearish,75.15,-1.97,4.29,2.06,48.07
SRE,2026-05-11,Bearish,88.99,-5.17,3.44,3.85,111.91
PCAR,2026-05-07,Bearish,111.03,-7.35,3.0,2.36,78.69
YUM,2026-05-05,Bearish,148.06,-6.51,1.62,1.26,77.76
PRU,2026-05-14,Bullish,102.01,2.56,2.47,1.57,63.53
WEC,2026-05-13,Bearish,111.975,-2.12,1.82,1.43,78.69
ACGL,2026-05-04,Bearish,90.89,-5.18,2.15,2.57,119.33
EXC,2026-04-30,Bearish,45.545,-3.83,8.09,19.25,237.92
EA,2026-05-11,Bearish,201.625,-0.13,1.7,2.37,139.96
STZ,2026-05-08,Bearish,140.88,-8.51,1.73,1.5,86.77
FAST,2026-05-01,Bearish,44.615,-1.48,7.38,5.94,80.48
CAH,2026-04-21,Bearish,198.27,-6.82,1.46,1.56,107.04
AWK,2026-04-27,Bearish,123.06,-8.09,1.85,1.36,73.22
DHI,2026-05-12,Bearish,148.15,-0.27,2.44,2.42,99.02
WBD,2026-04-22,Bearish,27.065,-1.29,22.35,18.98,84.91
VICI,2026-05-14,Bearish,28.12,-1.15,7.94,6.47,81.5
Bullish_Tickers,,,,"DECK,OC,PFGC,TREX,TXRH,DBX,GNTX,EQH,SEIC,PNFP,CBSH,SFM,ASH,HALO,EQH,KRC,IRT,WEN,ADNT,CRI,GO,MPW,SHC,MSFT,ADP,AMT,CI,CL,NSC,KDP,KHC,PRU",,,
Bearish_Tickers,,,,"USFD,SCI,NLY,WTRG,CHDN,SF,BWXT,ORI,NYT,RRC,FLR,GXO,FNF,FNF,AR,GMED,ADC,TMHC,PBF,STWD,SON,FLS,MTG,BYD,TEX,POR,GME,NVST,NEOG,LEG,SMG,UAA,UA,TJX,DE,SYF,GILD,CB,SO,CME,DUK,AEP,ORLY,AIG,SRE,PCAR,YUM,WEC,ACGL,EXC,EA,STZ,FAST,CAH,AWK,DHI,WBD,VICI",,,
Delta_Bullish,,,,"DECK,SFM,KRC,ADNT,CRI,MSFT",,,
Delta_Bearish,,,,"BYD,CB",,,
