Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
SMCI,2026-05-08,Bullish,29.645,2.86,38.03,50.77,133.51
DECK,2026-05-29,Bullish,112.73,8.19,2.4,2.85,118.89
OC,2026-05-26,Bullish,127.56,8.48,1.25,0.82,65.54
BURL,2026-06-03,Bullish,337.995,7.59,1.1,1.06,96.01
TOL,2026-06-15,Bullish,151.95,8.43,1.17,1.15,98.02
USFD,2026-06-16,Bullish,93.95,7.41,2.68,0.11,4.25
RGEN,2026-06-11,Bullish,132.71,8.57,1.18,0.65,54.8
SCI,2026-05-08,Bearish,74.86,-8.17,1.4,1.09,78.18
TXRH,2026-06-11,Bearish,169.71,-0.41,1.12,0.94,84.31
SF,2026-05-11,Bearish,74.34,-3.72,1.42,2.62,184.7
BWXT,2026-05-19,Bearish,197.24,-6.42,1.06,1.07,100.92
GPK,2026-06-15,Bullish,11.125,5.35,6.83,4.89,71.62
OHI,2026-06-05,Bearish,45.42,-1.96,2.35,3.64,155.06
NYT,2026-05-15,Bearish,74.0,-5.94,2.1,1.86,88.19
RRC,2026-05-27,Bearish,37.87,-8.92,2.41,2.77,115.04
FLR,2026-06-08,Bullish,51.0,7.29,2.91,2.31,79.16
FNF,2026-05-12,Bearish,47.995,-4.06,1.82,2.65,145.5
HRB,2026-05-13,Bullish,36.185,9.57,2.82,2.41,85.34
FNF,2026-05-12,Bearish,47.995,-4.06,1.82,2.65,145.5
OGE,2026-06-15,Bullish,48.12,1.48,1.34,0.51,38.28
AR,2026-05-11,Bearish,34.295,-9.91,4.91,3.76,76.58
ADC,2026-05-08,Bearish,74.72,-2.73,1.07,0.77,71.98
PBF,2026-06-16,Bearish,38.94,-5.54,2.3,0.17,7.53
STWD,2026-05-13,Bearish,16.925,-5.22,2.78,3.66,131.71
PR,2026-06-15,Bearish,18.53,-6.33,9.18,16.63,181.22
CPRI,2026-06-15,Bullish,21.16,9.53,3.96,2.09,52.86
FLS,2026-06-16,Bullish,81.01,7.42,1.92,0.28,14.47
MTG,2026-05-12,Bearish,26.33,-2.51,2.32,1.99,85.8
TKO,2026-06-02,Bullish,196.85,1.33,1.5,1.14,76.05
SFM,2026-05-07,Bullish,83.67,9.02,2.1,1.71,81.44
AM,2026-06-01,Bearish,21.395,-0.82,2.39,2.05,85.94
MDU,2026-06-09,Bearish,21.12,-1.95,1.92,1.58,82.48
GME,2026-05-15,Bearish,21.385,-9.54,10.56,5.35,50.63
NVST,2026-05-11,Bearish,24.8,-4.57,3.15,5.03,159.52
RUN,2026-06-10,Bearish,12.655,-9.94,8.33,9.08,109.02
WEN,2026-06-05,Bearish,6.855,-6.29,14.15,10.36,73.23
PNM,2026-06-09,Bearish,57.040001,-3.37,1.5,2.43,162.44
ADNT,2026-05-27,Bullish,22.32,3.42,1.01,0.96,95.81
SBRA,2026-06-03,Bearish,18.54,-7.85,2.17,2.77,127.58
CAR,2026-05-15,Bearish,186.36,-7.09,4.2,0.46,10.84
MP,2026-06-12,Bearish,57.36,-6.46,6.57,3.82,58.1
MPW,2026-06-03,Bearish,4.92,-2.92,5.34,4.59,85.92
SHC,2026-06-09,Bullish,16.28,4.31,4.04,3.66,90.65
UAA,2026-05-12,Bearish,6.01,-3.07,8.45,33.43,395.87
UA,2026-05-12,Bearish,5.85,-2.85,2.68,8.43,314.42
HTZ,2026-06-01,Bearish,5.085,-7.86,7.65,5.68,74.25
TSLA,2026-05-11,Bullish,404.485,2.86,64.97,78.38,120.63
JPM,2026-06-05,Bullish,331.0,9.02,8.85,9.12,103.06
XOM,2026-06-09,Bearish,141.07,-6.76,16.7,18.16,108.77
JNJ,2026-06-11,Bullish,235.02,1.79,7.89,7.4,93.8
PG,2026-06-16,Bullish,152.15,4.04,8.12,1.77,21.81
CVX,2026-05-29,Bearish,179.58,-4.44,10.27,13.89,135.15
