Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
GGG,2026-07-31,Bullish,81.94,6.13,1.48,1.84,124.57
VST,2026-07-30,Bearish,148.13,-5.27,4.06,4.6,113.38
WPC,2026-08-10,Bearish,71.62,-2.16,1.35,1.28,94.42
DKS,2026-07-20,Bearish,201.97,-8.48,1.17,0.75,63.66
SCI,2026-07-17,Bullish,84.23,9.31,1.37,1.01,73.81
CLF,2026-08-04,Bullish,11.9,8.78,27.14,21.74,80.11
LSCC,2026-07-29,Bearish,130.46001,-0.52,1.8,2.08,115.11
BJ,2026-07-27,Bullish,93.41,2.91,1.74,1.33,76.24
WTRG,2026-07-09,Bullish,40.38,5.99,2.26,1.59,70.48
COHR,2026-07-15,Bearish,325.82999,-6.02,5.3,5.19,97.8
GNTX,2026-07-27,Bearish,23.87,-0.81,2.78,4.02,144.88
GPK,2026-07-17,Bullish,11.4,7.82,4.62,3.97,85.76
KBR,2026-07-23,Bullish,38.37,8.82,1.78,1.72,96.77
MKSI,2026-07-30,Bearish,310.73001,-6.23,1.4,3.02,215.93
BRX,2026-08-11,Bearish,29.98,-3.66,2.28,2.1,91.9
RRC,2026-08-11,Bullish,40.32,3.95,3.18,2.12,66.49
STAG,2026-08-10,Bearish,36.75,-5.2,1.89,1.42,75.47
NOV,2026-08-04,Bullish,21.14,7.99,3.57,2.83,79.15
GXO,2026-08-05,Bearish,48.58,-5.47,1.64,5.52,336.25
MAT,2026-08-03,Bullish,15.03,3.67,4.94,4.05,81.93
FNF,2026-07-15,Bullish,49.47,1.88,1.78,1.31,74.02
FNF,2026-07-15,Bullish,49.47,1.88,1.78,1.31,74.02
WH,2026-07-13,Bearish,73.63,-9.72,1.5,1.0,66.65
OGE,2026-08-06,Bearish,47.5,-1.26,1.41,1.14,80.85
CMC,2026-08-06,Bullish,71.63,3.37,1.12,1.06,94.86
AR,2026-08-12,Bullish,37.37,5.32,4.76,4.61,96.94
GMED,2026-08-12,Bullish,85.9,5.9,1.59,1.09,68.16
HR,2026-08-14,Bearish,19.25,-4.87,3.85,2.69,69.72
G,2026-07-31,Bullish,33.86,6.09,2.14,2.45,114.52
ADC,2026-08-12,Bearish,74.74,-2.84,1.29,0.95,73.36
OPCH,2026-08-07,Bullish,23.95,5.87,2.72,3.9,143.57
VNT,2026-08-03,Bullish,32.84,6.43,1.38,1.08,78.43
MUR,2026-08-07,Bearish,34.57,-5.32,1.73,2.23,129.07
VVV,2026-08-12,Bearish,34.19,-7.67,2.28,2.53,110.89
FLS,2026-08-06,Bullish,80.87,9.4,2.0,1.61,80.23
SFM,2026-08-04,Bullish,82.5,1.96,2.23,2.02,90.47
UGI,2026-08-12,Bearish,35.37,-0.62,1.43,1.83,128.07
KD,2026-07-30,Bullish,13.17,6.41,3.96,4.43,111.74
KRG,2026-08-11,Bearish,26.45,-5.3,3.05,1.82,59.67
BYD,2026-08-10,Bearish,84.13,-2.26,1.04,0.91,87.76
FLO,2026-07-27,Bearish,7.52,-7.38,5.43,4.47,82.31
MTSI,2026-07-16,Bearish,316.44,-4.07,1.91,1.67,87.58
LPX,2026-08-12,Bearish,73.89,-1.29,1.2,0.82,68.09
AM,2026-08-14,Bullish,22.55,2.32,2.27,1.33,58.8
POR,2026-08-05,Bearish,50.76,-0.65,1.08,1.16,107.38
QDEL,2026-08-14,Bearish,14.3,-8.62,1.51,0.92,60.74
CNX,2026-08-11,Bullish,35.72,2.94,1.68,1.35,80.56
LEG,2026-07-31,Bearish,9.66,-9.98,2.11,1.62,76.86
SBRA,2026-07-20,Bullish,20.32,3.4,3.37,2.85,84.71
NYCB,2026-08-07,Bearish,14.25,-0.88,4.55,3.19,70.13
HGV,2026-08-03,Bearish,45.93,-6.99,1.14,1.91,167.45
WERN,2026-08-06,Bearish,38.88,-3.88,1.44,0.68,47.6
SMG,2026-08-14,Bearish,60.94,-6.15,1.01,0.48,47.62
ALGM,2026-07-30,Bearish,44.39,-9.42,2.79,6.15,220.17
DLR,2026-07-31,Bullish,200.14999,8.14,3.19,2.17,68.05
YUM,2026-07-21,Bearish,148.11,-4.68,2.82,2.9,102.91
CTVA,2026-08-10,Bearish,76.68,-6.61,4.72,4.25,89.89
XEL,2026-07-31,Bearish,79.17,-0.62,4.99,7.0,140.45
WEC,2026-07-29,Bearish,110.52,-3.16,1.87,3.1,165.89
TT,2026-08-04,Bullish,480.20001,2.45,1.33,1.45,108.99
ODFL,2026-08-11,Bearish,210.97,-3.93,1.73,2.02,117.14
EXC,2026-08-05,Bearish,45.86,-1.11,8.98,7.05,78.5
VRSK,2026-07-07,Bullish,181.67,0.47,3.33,1.8,53.9
CDNS,2026-07-23,Bearish,324.82001,-9.93,2.15,2.14,99.54
DHI,2026-07-22,Bearish,148.81,-1.43,2.52,3.71,147.14
KEYS,2026-08-11,Bullish,357.82001,8.95,1.16,0.8,68.96
WBD,2026-08-14,Bullish,27.99,4.9,23.93,12.5,52.22
GLW,2026-07-22,Bearish,165.99001,-8.31,15.89,10.0,62.92
ED,2026-08-11,Bearish,108.8,-0.65,2.3,1.86,81.13
BKR,2026-08-10,Bullish,64.82,8.3,9.05,5.27,58.28
EFX,2026-07-27,Bullish,180.85001,6.23,1.86,2.0,107.85
HIG,2026-07-07,Bullish,138.020004,3.66,1.82,2.05,112.75
VMC,2026-07-23,Bearish,282.0,-2.23,1.06,0.82,77.48
SWKS,2026-08-13,Bullish,69.62,5.88,5.83,4.14,71.04
EBAY,2026-08-14,Bearish,103.14,-5.58,4.32,2.76,63.85
CMS,2026-07-21,Bearish,71.11,-4.78,3.36,5.13,152.51
DTE,2026-07-31,Bearish,140.84,-4.16,1.27,1.6,125.23
CCL,2026-08-04,Bullish,28.12,2.29,19.18,22.47,117.12
CLX,2026-08-04,Bullish,105.7,8.8,2.64,5.29,200.36
ETR,2026-08-03,Bearish,107.84,-3.73,2.8,3.02,107.67
CARR,2026-07-30,Bearish,62.78,-6.51,7.13,11.64,163.25
XYL,2026-07-10,Bullish,119.68,3.29,1.92,1.4,72.74
FANG,2026-07-22,Bullish,202.47,6.65,2.14,1.58,73.67
MKC,2026-07-13,Bullish,54.67,8.17,5.42,4.38,80.73
CEG,2026-08-14,Bullish,282.5,5.04,2.8,2.02,72.22
FE,2026-08-14,Bearish,47.255,-1.2,4.57,2.59,56.68
CAG,2026-07-22,Bullish,15.47,9.54,24.32,13.66,56.17
CF,2026-07-17,Bullish,118.395,3.59,2.76,3.07,111.15
AEE,2026-08-06,Bearish,109.4,-1.25,1.54,1.91,124.09
AOS,2026-08-04,Bullish,61.74,1.62,1.9,1.82,95.63
JKHY,2026-07-16,Bullish,152.17,6.75,1.7,0.93,54.69
TXT,2026-07-30,Bearish,88.17,-2.93,1.72,2.13,124.25
EMN,2026-08-10,Bullish,73.185,3.39,1.28,0.92,71.86
PNW,2026-08-06,Bearish,100.89,-2.85,1.28,1.3,101.64
REG,2026-08-11,Bearish,76.14,-3.97,1.49,1.1,73.73
UDR,2026-08-13,Bearish,37.675,-2.26,3.44,2.83,82.26
DOV,2026-07-15,Bearish,207.21,-4.42,1.16,1.0,85.8
LNT,2026-08-03,Bearish,70.04,-4.92,2.46,3.3,134.05
TAP,2026-08-04,Bullish,41.64,1.35,3.06,2.57,84.11
RMD,2026-08-04,Bullish,221.34,7.78,1.3,1.74,133.91
WY,2026-08-03,Bullish,24.195,0.22,5.12,6.14,119.99
