Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
XPO,2025-10-30,Bullish,140.85001,8.78,1.4,2.88,205.81
BURL,2025-12-01,Bearish,256.87,-5.1,1.26,1.67,132.51
ELS,2025-11-10,Bullish,62.07,1.15,2.33,1.37,58.67
OVV,2025-12-01,Bullish,42.28,8.06,4.02,3.86,96.19
IBKR,2025-11-24,Bearish,65.95,-0.68,4.28,4.42,103.26
CUBE,2025-10-31,Bearish,36.81,-9.56,1.78,4.49,252.01
ALLY,2025-12-01,Bullish,42.42,6.69,2.89,2.46,85.04
CLF,2025-11-28,Bullish,12.75,8.3,22.0,7.56,34.37
TTEK,2025-12-04,Bullish,35.36,3.25,3.14,2.35,74.65
TXRH,2025-12-04,Bearish,167.13,-1.63,1.05,0.69,65.0
CCK,2025-12-01,Bullish,98.48,1.73,2.12,1.43,67.29
WTRG,2025-12-04,Bearish,37.9,-3.54,2.05,3.45,168.09
UNM,2025-12-03,Bearish,73.34,-3.23,1.3,1.89,145.93
DBX,2025-11-07,Bullish,29.78,1.64,3.32,9.07,273.15
WBS,2025-12-02,Bullish,62.049999,7.09,1.03,0.85,83.13
FHN,2025-12-01,Bullish,22.83,5.18,6.45,4.42,68.6
ARMK,2025-10-29,Bearish,37.58,-4.3,2.24,2.28,101.8
BWXT,2025-11-28,Bearish,178.33,-3.37,1.42,0.37,26.34
BRX,2025-11-03,Bearish,25.26,-6.69,2.48,2.38,95.94
AXTA,2025-11-28,Bullish,29.26,0.73,4.65,1.37,29.48
GXO,2025-11-17,Bearish,52.15,-0.09,1.15,1.41,123.1
FNF,2025-11-25,Bullish,58.37,1.46,1.28,0.99,77.0
FNF,2025-11-25,Bullish,58.37,1.46,1.28,0.99,77.0
OGE,2025-11-06,Bearish,43.49,-3.71,1.08,0.93,85.85
CGNX,2025-11-10,Bearish,38.9,-9.94,1.94,2.28,117.94
PLNT,2025-11-17,Bullish,109.4,9.41,1.75,1.98,113.6
PB,2025-11-24,Bullish,70.23,6.02,1.11,0.97,88.16
H,2025-11-07,Bullish,156.66,8.83,1.13,1.77,157.02
OPCH,2025-11-24,Bullish,29.9,6.06,2.82,2.32,82.15
MTG,2025-11-05,Bullish,27.92,1.8,1.84,1.94,105.1
TKO,2025-12-02,Bullish,200.87,7.23,1.3,1.0,76.79
ST,2025-12-02,Bullish,33.18,6.81,1.3,1.32,101.63
KRG,2025-11-07,Bullish,22.62,1.49,1.9,1.47,76.98
FNB,2025-11-24,Bullish,16.94,7.19,6.41,4.55,70.96
ONB,2025-12-04,Bullish,22.41,5.28,2.62,2.6,99.29
ZI,2025-11-14,Bearish,9.91,-7.87,4.57,3.7,80.95
SLM,2025-12-02,Bullish,30.16,7.26,2.21,2.14,96.6
TEX,2025-11-05,Bearish,50.28,-2.65,1.36,1.37,100.72
AM,2025-10-27,Bearish,18.22,-0.7,1.87,2.45,130.92
GT,2025-12-01,Bullish,8.47,7.12,8.49,6.54,77.0
NVST,2025-12-01,Bullish,20.13,0.04,1.84,1.21,66.02
LNTH,2025-12-04,Bullish,61.87,8.93,1.19,1.32,111.25
WU,2025-10-28,Bullish,8.93,6.54,13.46,27.85,206.85
IRT,2025-12-01,Bullish,16.75,0.64,2.79,3.34,119.73
QDEL,2025-11-05,Bearish,27.82,-1.16,1.17,1.86,159.36
SBRA,2025-11-12,Bullish,19.049999,3.73,3.01,3.98,132.19
NYCB,2025-12-02,Bullish,12.725,9.66,4.86,5.01,103.06
ASB,2025-11-28,Bullish,26.030001,2.3,1.4,0.56,39.84
NSA,2025-10-29,Bearish,29.62,-5.23,1.2,2.0,167.29
IART,2025-11-03,Bearish,13.57,-5.07,1.19,1.68,141.84
DOC,2025-11-04,Bearish,17.18,-5.79,10.96,7.38,67.38
TGNA,2025-11-25,Bearish,19.27,-2.9,1.71,2.83,165.87
VSH,2025-11-11,Bearish,15.15,-4.41,2.19,1.78,81.11
MP,2025-11-05,Bearish,61.8,-8.7,20.88,8.65,41.42
WU,2025-10-28,Bullish,8.93,6.54,13.46,27.85,206.85
MSFT,2025-11-18,Bearish,480.84,-5.91,25.17,33.82,134.34
AMZN,2025-10-31,Bullish,229.11,2.19,53.4,166.34,311.49
DGX,2025-11-11,Bullish,184.17999,1.65,1.23,1.29,105.15
HAS,2025-10-28,Bullish,81.85,8.04,1.9,1.48,78.1
PFG,2025-10-28,Bullish,85.93,6.7,1.15,1.78,155.32
BXP,2025-11-04,Bearish,70.56,-2.13,1.84,1.7,92.56
PNR,2025-11-14,Bearish,104.89,-2.81,1.3,1.24,95.16
TPR,2025-12-04,Bullish,115.059998,6.28,3.64,3.38,92.92
HSY,2025-11-28,Bullish,182.46001,0.5,1.88,0.53,28.09
TXT,2025-11-28,Bullish,83.14,1.93,1.19,0.62,51.85
PNW,2025-11-06,Bearish,88.080002,-2.3,1.27,0.97,76.45
KIM,2025-10-31,Bearish,20.36,-6.05,4.85,6.34,130.82
DOV,2025-10-31,Bullish,190.64,9.97,1.43,1.9,133.02
IPG,2025-11-05,Bearish,24.57,-6.22,6.55,3.96,60.49
OMC,2025-11-04,Bearish,70.17,-8.68,3.8,2.51,65.93
MGM,2025-12-04,Bullish,35.39,5.3,4.48,3.39,75.73
DOC,2025-11-04,Bearish,17.18,-5.79,10.96,7.38,67.38
HST,2025-11-10,Bullish,17.16,2.71,8.98,15.28,170.19
Bullish_Tickers,,,,"XPO,ELS,OVV,ALLY,CLF,TTEK,CCK,DBX,WBS,FHN,AXTA,FNF,FNF,PLNT,PB,H,OPCH,MTG,TKO,ST,KRG,FNB,ONB,SLM,GT,NVST,LNTH,WU,IRT,SBRA,NYCB,ASB,WU,AMZN,DGX,HAS,PFG,TPR,HSY,TXT,DOV,MGM,HST",,,
Bearish_Tickers,,,,"BURL,IBKR,CUBE,TXRH,WTRG,UNM,ARMK,BWXT,BRX,GXO,OGE,CGNX,ZI,TEX,AM,QDEL,NSA,IART,DOC,TGNA,VSH,MP,MSFT,BXP,PNR,PNW,KIM,IPG,OMC,DOC",,,
Delta_Bullish,,,,"CLF,TTEK,H,ONB,GT,LNTH,AMZN,TPR,HSY,DOV,MGM,HST",,,
Delta_Bearish,,,,"TXRH,WTRG,GXO,CGNX,MP,MSFT,KIM,IPG,OMC",,,
