Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
DECK,2025-12-16,Bullish,104.2,9.33,3.39,2.54,75.05
WPC,2025-12-08,Bearish,64.97,-2.69,1.18,1.53,129.41
BURL,2025-12-01,Bearish,260.89999,-3.61,1.26,1.67,132.51
ELS,2025-11-10,Bullish,61.66,0.49,2.33,1.37,58.67
REXR,2025-12-08,Bearish,40.72,-1.02,1.89,2.68,141.89
USFD,2025-12-12,Bullish,76.48,1.47,2.21,1.81,82.0
IBKR,2025-11-24,Bearish,63.060001,-5.03,4.28,4.42,103.26
ITT,2025-12-15,Bearish,175.050003,-1.78,1.13,0.66,58.51
CLF,2025-11-28,Bullish,12.92,9.74,22.0,7.56,34.37
DINO,2025-12-11,Bearish,47.62,-8.01,2.71,2.43,89.61
TXRH,2025-12-04,Bearish,165.78999,-2.42,1.05,0.69,65.0
CCK,2025-12-15,Bullish,101.53,4.56,2.16,2.16,100.12
WTRG,2025-12-04,Bearish,38.31,-2.49,2.05,3.45,168.09
DBX,2025-12-10,Bearish,28.59,-2.76,3.35,9.05,270.43
WBS,2025-12-02,Bullish,63.7,9.93,1.03,0.85,83.13
FHN,2025-12-01,Bullish,23.67,9.05,6.45,4.42,68.6
BWXT,2025-11-28,Bearish,173.2,-6.14,1.42,0.37,26.34
AXTA,2025-11-28,Bullish,31.4,8.09,4.65,1.37,29.48
FLR,2025-11-18,Bearish,42.86,-5.06,3.68,2.48,67.39
JEF,2025-12-10,Bullish,61.26,6.75,1.79,2.27,126.97
GXO,2025-12-12,Bullish,52.61,1.72,1.04,0.7,67.68
OGE,2025-11-06,Bearish,43.07,-4.64,1.08,0.93,85.85
EXEL,2025-11-10,Bullish,41.6,5.81,3.25,2.63,80.9
MTDR,2025-12-16,Bearish,41.37,-3.86,1.37,1.37,99.6
AR,2025-11-13,Bullish,33.23,0.53,4.85,4.28,88.41
PLNT,2025-11-17,Bullish,109.56,9.57,1.75,1.98,113.6
HR,2025-12-09,Bearish,17.02,-4.34,2.45,2.39,97.4
ADC,2025-12-12,Bearish,71.059998,-2.92,1.02,0.97,95.39
PB,2025-11-24,Bullish,71.5,7.94,1.11,0.97,88.16
PR,2025-11-18,Bullish,14.0,7.16,11.58,11.13,96.15
ST,2025-12-02,Bullish,33.9,9.13,1.3,1.32,101.63
KRG,2025-11-07,Bullish,23.47,5.31,1.9,1.47,76.98
HALO,2025-12-05,Bearish,64.47,-5.55,2.74,1.55,56.6
ONB,2025-12-04,Bullish,22.89,7.54,2.62,2.6,99.29
SLM,2025-12-15,Bearish,26.84,-4.62,3.52,3.73,105.8
TEX,2025-12-16,Bullish,53.049999,7.55,1.17,1.32,113.13
AM,2025-12-15,Bearish,17.66,-2.2,2.33,2.27,97.24
NVST,2025-12-01,Bullish,21.9,8.84,1.84,1.21,66.02
KRC,2025-12-12,Bearish,39.73,-3.72,1.29,1.76,135.73
IRT,2025-12-01,Bullish,16.98,2.03,2.79,3.34,119.73
QDEL,2025-12-11,Bullish,28.88,8.66,1.17,1.34,115.21
SBRA,2025-11-12,Bullish,18.85,2.65,3.01,3.98,132.19
ASB,2025-11-28,Bullish,26.76,5.17,1.4,0.56,39.84
TGNA,2025-11-25,Bearish,19.68,-0.83,1.71,2.83,165.87
VSH,2025-11-11,Bearish,14.88,-6.11,2.19,1.78,81.11
MSFT,2025-11-18,Bearish,476.39001,-6.78,25.17,33.82,134.34
HLT,2025-11-11,Bullish,285.82999,7.72,1.84,1.64,88.88
YUM,2025-11-13,Bullish,151.029999,3.1,2.17,1.88,86.45
HPQ,2025-11-07,Bearish,24.83,-8.58,11.84,8.71,73.55
OTIS,2025-11-17,Bearish,87.96,-2.98,2.34,2.56,109.39
XEL,2025-12-11,Bearish,73.73,-5.91,4.29,5.49,127.99
WEC,2025-12-01,Bearish,104.48,-6.59,2.09,2.23,106.95
TT,2025-11-19,Bearish,395.95999,-6.22,1.31,0.9,68.79
ACGL,2025-11-17,Bullish,95.58,6.78,2.29,1.32,57.65
EXC,2025-12-05,Bearish,43.76,-4.07,8.35,7.62,91.3
LEN,2025-12-09,Bearish,117.57,-5.49,10.38,4.13,39.77
STZ,2025-12-12,Bullish,142.59,2.3,2.43,2.1,86.33
DHI,2025-12-16,Bullish,155.12,0.89,3.13,2.87,91.75
NDAQ,2025-12-09,Bullish,92.93,4.64,2.83,3.89,137.32
XYL,2025-11-25,Bearish,137.60001,-4.8,1.45,1.7,116.93
FANG,2025-11-11,Bullish,149.059998,4.38,1.71,1.43,83.93
HPE,2025-12-11,Bullish,24.3,5.56,29.78,31.58,106.04
RF,2025-12-04,Bullish,27.51,9.44,15.46,9.77,63.16
PPL,2025-11-20,Bearish,33.98,-7.08,6.32,21.88,346.22
TRGP,2025-11-12,Bullish,176.41,9.1,1.66,1.38,83.19
