Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
DECK,2025-10-01,Bearish,100.89,-8.79,2.71,3.53,130.28
WSM,2025-10-22,Bearish,187.99001,-1.86,1.04,0.81,77.94
ELS,2025-10-08,Bullish,63.37,3.84,1.85,2.49,134.45
GLPI,2025-09-24,Bearish,45.14,-4.27,2.26,3.5,154.86
USFD,2025-09-22,Bearish,75.75,-3.34,1.87,1.88,100.68
OVV,2025-10-10,Bearish,36.56,-9.65,2.99,3.49,116.5
CUBE,2025-10-20,Bullish,42.34,3.88,1.43,1.03,71.88
CG,2025-10-16,Bearish,58.07,-5.44,3.42,2.07,60.38
ALLY,2025-10-21,Bullish,40.6,1.74,4.29,3.0,69.86
TTEK,2025-09-22,Bearish,33.049999,-8.53,2.28,2.82,123.62
WTRG,2025-09-30,Bullish,41.69,8.9,1.98,1.75,88.47
UNM,2025-09-25,Bullish,76.21,2.24,1.72,0.94,54.64
GNTX,2025-10-22,Bearish,26.21,-2.36,2.62,2.52,96.12
WBS,2025-10-16,Bearish,55.91,-5.1,1.47,4.15,283.0
FHN,2025-10-17,Bearish,20.62,-6.84,16.77,25.19,150.18
ACHC,2025-09-25,Bullish,23.46,4.41,3.75,3.39,90.37
NYT,2025-10-07,Bearish,57.02,-0.2,1.52,1.19,78.46
RRC,2025-09-30,Bullish,36.25,1.15,3.3,2.98,90.14
AXTA,2025-09-24,Bearish,28.21,-7.41,2.59,4.33,167.14
FLR,2025-10-15,Bullish,46.45,4.8,4.05,8.11,200.27
STAG,2025-10-07,Bullish,38.58,8.09,1.74,1.18,67.51
NOV,2025-10-22,Bullish,13.3,2.25,3.47,3.43,98.74
EQH,2025-09-30,Bearish,47.88,-9.54,3.08,2.64,85.89
FNF,2025-10-10,Bearish,56.44,-3.46,1.17,0.94,80.37
FNF,2025-10-10,Bearish,56.44,-3.46,1.17,0.94,80.37
OGE,2025-09-29,Bullish,46.45,3.9,1.13,1.63,144.49
EXEL,2025-10-09,Bearish,36.080002,-8.81,2.44,1.68,68.96
GMED,2025-10-20,Bullish,62.35,6.29,1.33,1.37,102.86
ADC,2025-10-20,Bullish,75.14,3.6,1.02,1.13,111.05
TMHC,2025-10-10,Bearish,60.57,-7.82,1.08,0.89,82.37
STWD,2025-10-01,Bearish,18.69,-6.78,2.94,3.77,128.13
PR,2025-09-22,Bearish,12.5,-8.61,12.93,11.91,92.11
SON,2025-09-26,Bearish,41.49,-9.86,1.11,1.14,103.37
VVV,2025-10-01,Bearish,34.17,-9.98,1.8,1.99,110.54
FLS,2025-10-09,Bearish,51.77,-3.58,2.14,1.96,91.62
MTG,2025-10-17,Bearish,27.36,-0.33,1.8,1.45,80.56
SNV,2025-09-30,Bearish,45.63,-9.42,1.64,1.37,83.14
ST,2025-10-15,Bullish,31.6,2.04,1.46,1.26,86.16
TDC,2025-10-16,Bearish,21.18,-1.81,1.3,1.08,82.84
KRG,2025-10-22,Bullish,23.13,3.86,1.84,1.69,91.8
OLLI,2025-10-08,Bearish,120.6,-7.59,1.1,1.05,96.01
HALO,2025-10-22,Bearish,65.77,-3.82,2.17,1.35,62.42
HOG,2025-10-20,Bearish,27.11,-1.03,1.38,1.54,111.35
HOMB,2025-10-01,Bearish,27.040001,-6.51,1.11,0.74,66.93
GPS,2025-10-08,Bearish,21.68,-1.16,9.05,8.41,92.84
GBCI,2025-10-21,Bearish,43.0,-8.31,1.17,1.07,91.58
AVT,2025-09-25,Bearish,51.22,-3.74,1.18,0.7,59.12
EQH,2025-09-30,Bearish,47.88,-9.54,3.08,2.64,85.89
CNXC,2025-09-30,Bearish,47.32,-9.83,1.06,0.85,79.41
GME,2025-10-17,Bearish,22.49,-7.99,8.34,6.21,74.38
NVST,2025-10-13,Bearish,19.84,-2.55,2.11,1.72,81.62
CUZ,2025-10-09,Bearish,26.58,-6.68,1.38,1.46,105.48
PENN,2025-10-10,Bearish,17.57,-5.4,3.47,4.15,119.71
BHF,2025-10-16,Bearish,46.57,-6.15,1.86,4.66,250.23
QDEL,2025-10-16,Bullish,29.8,6.24,1.33,1.48,111.33
CNX,2025-09-26,Bullish,32.07,5.44,1.94,1.82,93.57
LEG,2025-09-25,Bearish,9.07,-3.62,1.89,1.88,99.31
SBRA,2025-10-06,Bearish,18.25,-1.96,2.38,4.25,178.46
NYCB,2025-10-10,Bearish,11.5,-3.75,5.25,5.07,96.61
CRI,2025-10-14,Bullish,31.13,6.02,1.21,1.15,94.78
ASB,2025-10-21,Bearish,25.22,-1.33,1.61,1.48,92.03
NSA,2025-10-22,Bullish,32.35,3.28,1.13,1.21,107.64
VSH,2025-10-13,Bullish,16.63,7.33,1.35,1.33,99.06
GO,2025-10-10,Bearish,15.37,-5.3,3.03,2.47,81.59
AMZN,2025-10-10,Bearish,217.95,-2.64,48.61,72.37,148.87
META,2025-10-10,Bearish,733.40997,-0.28,13.29,16.98,127.8
LLY,2025-10-01,Bullish,812.42999,8.69,3.89,10.12,260.34
PG,2025-09-18,Bearish,152.2,-3.53,6.12,7.65,124.94
MA,2025-10-10,Bearish,571.35999,-0.69,2.91,3.55,122.28
HD,2025-10-13,Bearish,388.97,-1.76,3.3,2.93,88.56
MRK,2025-10-02,Bullish,87.61,5.87,14.21,14.58,102.54
PEP,2025-10-10,Bullish,153.029999,7.31,8.01,17.55,218.98
PFE,2025-10-01,Bullish,24.72,0.6,58.8,150.88,256.58
LIN,2025-10-09,Bearish,449.92001,-4.63,1.71,1.5,87.82
NFLX,2025-10-22,Bearish,1116.37,-7.22,3.84,14.72,383.23
ABT,2025-10-17,Bearish,127.95,-3.14,6.38,6.81,106.71
DHR,2025-10-06,Bullish,218.10001,9.6,5.12,3.85,75.23
DIS,2025-09-19,Bearish,113.080002,-2.91,7.46,23.4,313.69
VZ,2025-10-06,Bearish,39.8,-8.38,20.73,75.94,366.39
COP,2025-10-10,Bearish,87.41,-6.92,6.73,7.89,117.23
AMGN,2025-10-09,Bullish,295.98001,2.85,2.78,1.37,49.26
UNP,2025-09-26,Bullish,225.24001,0.69,5.1,4.94,96.94
LOW,2025-10-13,Bearish,243.53,-1.85,2.72,3.07,112.87
BA,2025-09-24,Bearish,216.59,-2.13,7.09,7.35,103.79
NKE,2025-09-25,Bearish,69.080002,-5.3,12.49,13.08,104.66
ELV,2025-10-03,Bullish,345.20999,7.23,2.04,2.68,131.28
CI,2025-10-20,Bullish,307.87,3.16,1.42,1.61,113.42
GILD,2025-10-07,Bullish,121.46,7.29,7.9,8.71,110.34
CB,2025-10-21,Bearish,277.625,0.05,1.65,2.86,173.56
PNC,2025-10-13,Bearish,181.2,-7.68,1.56,1.82,116.48
VRTX,2025-10-22,Bullish,428.89,4.78,1.5,1.69,112.8
SO,2025-09-25,Bullish,97.81,5.57,4.56,6.97,152.91
FCX,2025-09-26,Bearish,41.54,-2.85,22.16,41.52,187.33
SHW,2025-09-25,Bearish,332.92,-5.95,1.84,1.58,85.96
EOG,2025-09-22,Bearish,108.775,-8.65,2.66,2.93,110.26
CSX,2025-09-29,Bullish,35.82,6.69,15.47,34.27,221.47
EMR,2025-09-19,Bearish,131.25,-1.43,2.96,3.77,127.42
FDX,2025-09-23,Bullish,241.25,5.52,2.5,2.88,115.4
AON,2025-09-19,Bearish,342.505,-5.91,1.21,3.73,307.09
MAR,2025-10-23,Bullish,271.98,2.34,1.46,0.0,0.13
AEP,2025-09-29,Bullish,117.39,7.85,3.08,2.88,93.36
TRV,2025-10-23,Bearish,269.03,-1.02,1.11,0.0,0.02
ALL,2025-10-21,Bearish,195.42,-3.99,1.29,1.24,96.42
HUM,2025-10-03,Bullish,283.2,5.97,2.46,4.48,182.1
AIG,2025-10-17,Bearish,78.85,-1.63,4.44,4.03,90.86
OXY,2025-10-13,Bearish,43.13,-4.8,13.15,8.52,64.81
PEG,2025-10-22,Bullish,83.88,1.2,2.73,2.02,74.21
DLR,2025-09-19,Bullish,173.98,2.51,1.73,3.15,181.67
WMB,2025-09-19,Bullish,60.67,3.89,6.38,14.76,231.43
PRU,2025-09-19,Bearish,102.535,-2.91,1.69,3.06,181.77
OTIS,2025-10-20,Bullish,92.62,2.42,2.08,1.62,77.82
ACGL,2025-10-17,Bearish,87.715,-2.87,2.18,6.46,296.28
EXC,2025-10-01,Bullish,47.84,8.85,5.6,7.78,138.91
MTB,2025-10-10,Bearish,182.365,-5.96,1.13,1.16,103.3
ECL,2025-09-30,Bullish,276.62,2.23,1.52,1.59,104.98
LEN,2025-10-23,Bullish,127.715,1.79,3.26,0.0,0.11
FAST,2025-10-14,Bearish,42.71,-8.86,7.09,15.65,220.71
CAH,2025-10-02,Bullish,159.985,4.67,2.43,3.22,132.7
RCL,2025-10-09,Bearish,318.58,-1.38,1.88,1.39,73.92
AWK,2025-10-20,Bullish,142.9,1.55,1.27,1.11,87.52
CDNS,2025-10-16,Bearish,333.24,-2.66,1.65,1.79,108.14
KEYS,2025-10-22,Bearish,166.37,-0.73,1.0,1.0,99.43
VICI,2025-09-22,Bearish,31.22,-4.85,8.49,9.56,112.51
FITB,2025-10-16,Bearish,41.745,-4.29,9.06,16.35,180.39
