Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
DECK,2025-08-28,Bullish,117.17,8.18,2.5,2.35,94.1
DT,2025-08-06,Bearish,49.93,-5.54,2.65,8.17,307.94
GLPI,2025-08-27,Bullish,47.93,2.0,1.7,2.27,133.82
SCI,2025-08-12,Bullish,78.97,0.15,1.21,0.72,59.7
KNX,2025-07-31,Bearish,42.76,-4.33,3.07,4.44,144.37
CCK,2025-08-27,Bearish,94.059998,-6.81,1.05,0.99,94.58
WTRG,2025-08-12,Bullish,38.37,1.2,1.95,1.83,93.76
UNM,2025-07-30,Bearish,73.69,-7.47,1.45,6.83,470.7
DBX,2025-08-25,Bullish,30.34,9.16,3.56,2.06,58.03
ONTO,2025-08-21,Bullish,103.63,0.25,1.53,0.62,40.58
MIDD,2025-08-06,Bearish,141.83,-1.53,1.0,4.89,488.19
ARMK,2025-08-20,Bearish,38.32,-5.84,2.54,4.82,189.49
NNN,2025-09-05,Bullish,43.0099983,1.79,1.24,1.79,143.78
ORI,2025-08-14,Bullish,40.32,8.4,1.47,1.01,68.59
NYT,2025-08-06,Bullish,58.83,8.55,2.19,6.98,319.09
AXTA,2025-08-26,Bullish,32.38,7.0,3.12,1.81,58.1
STAG,2025-08-25,Bullish,36.62,3.35,1.39,0.8,57.42
NOV,2025-09-04,Bullish,13.24,3.1,3.21,3.05,95.01
EQH,2025-08-22,Bullish,53.22,1.0,3.09,2.79,90.26
FNF,2025-08-08,Bullish,60.46,6.74,1.96,1.09,55.59
FNF,2025-08-08,Bullish,60.46,6.74,1.96,1.09,55.59
GMED,2025-08-26,Bullish,59.55,0.61,1.44,0.89,61.66
PLNT,2025-09-02,Bearish,104.23,-2.09,1.43,1.23,86.14
STWD,2025-08-25,Bullish,20.51,2.83,2.85,2.1,73.68
PR,2025-08-27,Bullish,13.79,1.22,10.38,8.7,83.81
MUR,2025-09-02,Bullish,25.31,5.25,2.33,2.8,120.07
VVV,2025-08-06,Bullish,39.98,9.78,1.96,3.07,156.92
MTG,2025-08-06,Bullish,28.41,8.59,2.44,1.92,78.58
SNV,2025-08-29,Bullish,51.85,3.38,1.81,2.32,128.0
UGI,2025-08-21,Bearish,34.3,-3.21,1.87,2.8,150.06
KRG,2025-09-03,Bullish,22.82,2.49,1.63,2.03,124.31
ONB,2025-08-22,Bullish,22.87,6.14,2.62,3.62,138.17
WLK,2025-08-20,Bullish,88.38,7.77,1.46,1.12,77.02
