Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
GDDY,2026-07-14,Bullish,91.82,7.17,2.48,1.16,46.68
GGG,2026-07-31,Bullish,82.49,6.84,1.48,1.84,124.57
VST,2026-07-30,Bearish,146.67999,-6.19,4.06,4.6,113.38
WPC,2026-08-10,Bearish,70.69,-3.43,1.35,1.28,94.42
REXR,2026-07-20,Bullish,36.39,3.81,2.7,2.07,76.37
NVT,2026-08-07,Bullish,171.16,9.1,2.2,1.43,65.17
CG,2026-08-04,Bullish,48.27,5.34,3.04,6.1,200.62
DKS,2026-07-20,Bearish,202.66,-8.17,1.17,0.75,63.66
SCI,2026-07-17,Bullish,84.4,9.53,1.37,1.01,73.81
KNX,2026-08-07,Bearish,71.31,-1.15,4.31,3.26,75.68
LSCC,2026-07-29,Bearish,129.27,-1.42,1.8,2.08,115.11
BJ,2026-07-27,Bullish,92.71,2.13,1.74,1.33,76.24
WTRG,2026-07-09,Bullish,39.86,4.63,2.26,1.59,70.48
GNTX,2026-07-27,Bearish,23.4,-2.77,2.78,4.02,144.88
CNX,2026-08-11,Bullish,35.74,2.99,1.68,1.35,80.56
SBRA,2026-07-20,Bullish,20.19,2.74,3.37,2.85,84.71
NYCB,2026-08-07,Bearish,14.21,-1.15,4.55,3.19,70.13
ENOV,2026-07-13,Bullish,24.69,5.35,1.31,0.91,69.9
HGV,2026-08-03,Bearish,44.91,-9.05,1.14,1.91,167.45
WERN,2026-08-06,Bearish,37.85,-6.43,1.44,0.68,47.6
MO,2026-08-06,Bearish,64.38,-9.1,8.76,10.53,120.16
ADI,2026-07-20,Bearish,384.42999,-1.91,4.84,2.94,60.86
SO,2026-08-07,Bearish,92.52,-2.19,5.26,7.71,146.42
APD,2026-07-06,Bullish,304.070007,5.35,1.7,1.37,80.67
FCX,2026-08-05,Bullish,69.22,9.67,14.53,17.12,117.77
EOG,2026-07-15,Bullish,143.14,6.22,4.17,3.21,76.88
DUK,2026-08-07,Bearish,123.49,-1.97,4.05,4.31,106.35
WM,2026-07-07,Bullish,226.32001,1.48,2.45,2.29,93.43
FDX,2026-08-10,Bullish,326.76999,3.89,1.49,1.67,112.39
MAR,2026-08-04,Bearish,354.57999,-4.15,1.61,3.38,209.25
AEP,2026-08-03,Bearish,124.65,-5.51,3.95,4.88,123.6
ORLY,2026-08-06,Bullish,92.050003,3.1,7.9,4.13,52.26
AIG,2026-07-06,Bullish,76.14,0.02,4.93,3.94,79.95
KMI,2026-07-30,Bearish,31.73,-1.39,9.5,12.7,133.67
OXY,2026-07-30,Bullish,58.55,6.94,9.11,6.28,68.91
SRE,2026-07-28,Bearish,85.92,-7.06,2.89,2.22,76.81
PEG,2026-07-20,Bearish,75.87,-5.33,3.08,2.86,92.79
HLT,2026-07-24,Bearish,322.53,-1.96,2.51,1.47,58.6
DLR,2026-07-31,Bullish,197.059998,6.47,3.19,2.17,68.05
YUM,2026-07-21,Bearish,150.34,-3.25,2.82,2.9,102.91
CTVA,2026-08-10,Bearish,75.53,-8.01,4.72,4.25,89.89
XEL,2026-07-31,Bearish,78.6,-1.33,4.99,7.0,140.45
WEC,2026-07-29,Bearish,109.11,-4.39,1.87,3.1,165.89
TT,2026-08-04,Bullish,478.54999,2.1,1.33,1.45,108.99
ODFL,2026-08-11,Bearish,212.55,-3.22,1.73,2.02,117.14
EXC,2026-08-05,Bearish,45.22,-2.5,8.98,7.05,78.5
DHI,2026-07-22,Bearish,145.82001,-3.41,2.52,3.71,147.14
KEYS,2026-08-11,Bullish,354.5,7.94,1.16,0.8,68.96
Bullish_Tickers,,,,"GDDY,GGG,REXR,NVT,CG,SCI,BJ,WTRG,CNX,SBRA,ENOV,APD,FCX,EOG,WM,FDX,ORLY,AIG,OXY,DLR,TT,KEYS",,,
Bearish_Tickers,,,,"VST,WPC,DKS,KNX,LSCC,GNTX,NYCB,HGV,WERN,MO,ADI,SO,DUK,MAR,AEP,KMI,SRE,PEG,HLT,YUM,CTVA,XEL,WEC,ODFL,EXC,DHI",,,
Delta_Bullish,,,,,,,
Delta_Bearish,,,,HGV,,,
