Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
XPO,2025-10-30,Bullish,139.75999,7.94,1.4,2.88,205.81
BURL,2025-12-01,Bearish,248.85001,-8.06,1.26,1.67,132.51
ELS,2025-11-10,Bullish,62.46,1.79,2.33,1.37,58.67
OVV,2025-12-01,Bullish,42.32,8.16,4.02,3.86,96.19
IBKR,2025-11-24,Bearish,64.96,-2.17,4.28,4.42,103.26
CUBE,2025-10-31,Bearish,37.0099983,-9.07,1.78,4.49,252.01
ALLY,2025-12-01,Bullish,41.76,5.03,2.89,2.46,85.04
CCK,2025-12-01,Bullish,99.4,2.68,2.12,1.43,67.29
UNM,2025-12-03,Bearish,73.55,-2.95,1.3,1.89,145.93
DBX,2025-11-07,Bullish,29.94,2.18,3.32,9.07,273.15
WBS,2025-12-02,Bullish,62.09,7.15,1.03,0.85,83.13
FHN,2025-12-01,Bullish,22.72,4.67,6.45,4.42,68.6
ARMK,2025-10-29,Bearish,37.6,-4.25,2.24,2.28,101.8
BWXT,2025-11-28,Bearish,174.71001,-5.33,1.42,0.37,26.34
RGLD,2025-11-21,Bullish,200.64,8.79,1.05,1.21,115.0
NNN,2025-10-24,Bearish,41.11,-2.9,1.0,1.38,137.88
BRX,2025-11-03,Bearish,25.37,-6.29,2.48,2.38,95.94
AXTA,2025-11-28,Bullish,30.0,3.27,4.65,1.37,29.48
FLR,2025-11-18,Bearish,44.049999,-2.42,3.68,2.48,67.39
FNF,2025-11-25,Bullish,58.19,1.14,1.28,0.99,77.0
FNF,2025-11-25,Bullish,58.19,1.14,1.28,0.99,77.0
OGE,2025-11-06,Bearish,44.25,-2.02,1.08,0.93,85.85
OLN,2025-10-30,Bearish,21.45,-7.85,2.66,3.06,115.01
PLNT,2025-11-17,Bullish,108.43,8.44,1.75,1.98,113.6
G,2025-11-14,Bullish,45.2,8.4,2.3,1.44,62.66
PB,2025-11-24,Bullish,70.050003,5.75,1.11,0.97,88.16
OPCH,2025-11-24,Bullish,30.26,7.34,2.82,2.32,82.15
MTG,2025-11-05,Bullish,28.28,3.11,1.84,1.94,105.1
TKO,2025-12-02,Bullish,194.89999,4.04,1.3,1.0,76.79
ST,2025-12-02,Bullish,32.89,5.88,1.3,1.32,101.63
KRG,2025-11-07,Bullish,22.68,1.76,1.9,1.47,76.98
FNB,2025-11-24,Bullish,16.92,7.06,6.41,4.55,70.96
ZI,2025-11-14,Bearish,10.07,-6.39,4.57,3.7,80.95
SLM,2025-12-02,Bullish,30.1,7.05,2.21,2.14,96.6
TEX,2025-11-05,Bearish,49.68,-3.81,1.36,1.37,100.72
VNO,2025-10-29,Bearish,35.97,-8.92,1.11,1.85,166.76
AM,2025-10-27,Bearish,18.09,-1.41,1.87,2.45,130.92
COLB,2025-10-28,Bullish,28.17,9.84,5.6,9.0,160.93
NVST,2025-12-01,Bullish,20.45,1.63,1.84,1.21,66.02
WU,2025-10-28,Bullish,9.05,7.97,13.46,27.85,206.85
IRT,2025-12-01,Bullish,17.25,3.65,2.79,3.34,119.73
QDEL,2025-11-05,Bearish,27.53,-2.19,1.17,1.86,159.36
SBRA,2025-11-12,Bullish,19.22,4.66,3.01,3.98,132.19
NYCB,2025-12-02,Bullish,12.74,9.79,4.86,5.01,103.06
ASB,2025-11-28,Bullish,25.84,1.56,1.4,0.56,39.84
NSA,2025-10-29,Bearish,29.99,-4.05,1.2,2.0,167.29
IART,2025-11-03,Bearish,13.49,-5.63,1.19,1.68,141.84
DOC,2025-11-04,Bearish,17.29,-5.18,10.96,7.38,67.38
TGNA,2025-11-25,Bearish,19.4,-2.25,1.71,2.83,165.87
VSH,2025-11-11,Bearish,14.95,-5.67,2.19,1.78,81.11
WU,2025-10-28,Bullish,9.05,7.97,13.46,27.85,206.85
XYL,2025-11-25,Bearish,140.89,-2.52,1.45,1.7,116.93
HPE,2025-11-18,Bearish,22.26,-4.22,34.25,43.25,126.3
PPL,2025-11-20,Bearish,34.81,-4.81,6.32,21.88,346.22
TRGP,2025-11-12,Bullish,175.72,8.67,1.66,1.38,83.19
DGX,2025-11-11,Bullish,182.61,0.79,1.23,1.29,105.15
TTWO,2025-11-14,Bearish,244.95,-0.87,1.85,1.54,83.2
RJF,2025-10-24,Bearish,158.78999,-3.9,1.3,2.01,155.31
HAS,2025-10-28,Bullish,82.47,8.86,1.9,1.48,78.1
PFG,2025-10-28,Bullish,85.94,6.71,1.15,1.78,155.32
BXP,2025-11-04,Bearish,71.15,-1.31,1.84,1.7,92.56
PNR,2025-11-14,Bearish,106.47,-1.35,1.3,1.24,95.16
TXT,2025-11-28,Bullish,83.7,2.62,1.19,0.62,51.85
PNW,2025-11-06,Bearish,88.62,-1.7,1.27,0.97,76.45
Bullish_Tickers,,,,"XPO,ELS,OVV,ALLY,CCK,DBX,WBS,FHN,RGLD,AXTA,FNF,FNF,PLNT,G,PB,OPCH,MTG,TKO,ST,KRG,FNB,SLM,COLB,NVST,WU,IRT,SBRA,NYCB,ASB,WU,TRGP,DGX,HAS,PFG,TXT",,,
Bearish_Tickers,,,,"BURL,IBKR,CUBE,UNM,ARMK,BWXT,NNN,BRX,FLR,OGE,OLN,ZI,TEX,VNO,AM,QDEL,NSA,IART,DOC,TGNA,VSH,XYL,HPE,PPL,TTWO,RJF,BXP,PNR,PNW",,,
Delta_Bullish,,,,"ASB,TRGP,DGX,HAS,PFG,TXT",,,
Delta_Bearish,,,,"UNM,ZI,VSH,XYL,HPE,PPL,TTWO,RJF,BXP,PNR,PNW",,,
