Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
DT,2025-08-06,Bearish,50.6,-4.27,2.65,8.17,307.94
GLPI,2025-08-27,Bullish,48.0099983,2.17,1.7,2.27,133.82
FBIN,2025-07-24,Bullish,58.52,9.09,2.19,2.07,94.3
SCI,2025-08-12,Bullish,79.25,0.5,1.21,0.72,59.7
KNX,2025-07-31,Bearish,43.9,-1.78,3.07,4.44,144.37
CCK,2025-08-27,Bearish,99.38,-1.54,1.05,0.99,94.58
WTRG,2025-08-12,Bullish,39.51,4.2,1.95,1.83,93.76
DBX,2025-08-25,Bullish,29.059999,4.56,3.56,2.06,58.03
ONTO,2025-08-21,Bullish,106.0,2.54,1.53,0.62,40.58
MIDD,2025-08-06,Bearish,136.85001,-4.98,1.0,4.89,488.19
ARMK,2025-08-20,Bearish,39.11,-3.9,2.54,4.82,189.49
KBR,2025-08-25,Bullish,50.46,2.21,1.56,1.08,69.49
ORI,2025-08-14,Bullish,39.97,7.46,1.47,1.01,68.59
BRX,2025-07-22,Bullish,27.99,8.9,2.35,2.11,89.91
AXTA,2025-08-26,Bullish,31.26,3.29,3.12,1.81,58.1
STAG,2025-08-25,Bullish,36.85,4.0,1.39,0.8,57.42
EQH,2025-08-22,Bullish,53.26,1.07,3.09,2.79,90.26
MAT,2025-07-29,Bearish,18.3,-3.65,4.68,4.72,100.79
FNF,2025-08-08,Bullish,59.87,5.7,1.96,1.09,55.59
DAR,2025-08-01,Bearish,33.96,-2.82,2.26,2.3,101.46
FNF,2025-08-08,Bullish,59.87,5.7,1.96,1.09,55.59
OGE,2025-07-21,Bullish,44.66,0.88,1.24,1.25,100.39
MTDR,2025-08-29,Bullish,50.36,3.85,1.48,0.88,59.08
GMED,2025-08-26,Bullish,61.27,3.52,1.44,0.89,61.66
G,2025-08-29,Bullish,45.34,1.89,2.03,1.71,83.96
STWD,2025-08-25,Bullish,20.27,1.63,2.85,2.1,73.68
PR,2025-08-27,Bullish,14.29,4.89,10.38,8.7,83.81
VVV,2025-08-06,Bullish,38.78,6.48,1.96,3.07,156.92
MTG,2025-08-06,Bullish,27.83,6.37,2.44,1.92,78.58
SNV,2025-08-29,Bullish,51.61,2.91,1.81,2.32,128.0
UGI,2025-08-21,Bearish,34.64,-2.25,1.87,2.8,150.06
ONB,2025-08-22,Bullish,22.89,6.23,2.62,3.62,138.17
WLK,2025-08-20,Bullish,87.82,7.09,1.46,1.12,77.02
SLM,2025-08-18,Bearish,31.28,-2.38,2.31,2.69,116.44
VNO,2025-08-06,Bearish,38.029999,-1.39,1.63,2.18,133.44
AM,2025-08-21,Bearish,17.79,-0.63,3.01,2.63,87.47
MDU,2025-08-15,Bearish,16.29,-3.25,1.56,2.01,128.56
POR,2025-08-08,Bullish,42.78,3.34,1.43,0.87,60.48
EQH,2025-08-22,Bullish,53.26,1.07,3.09,2.79,90.26
CNX,2025-07-30,Bearish,29.2,-9.72,2.48,2.73,110.23
PK,2025-08-14,Bullish,11.76,9.96,4.06,3.77,92.85
NEOG,2025-08-29,Bullish,5.75,5.56,5.36,2.72,50.71
LEG,2025-08-26,Bullish,9.61,2.56,1.92,2.33,121.37
DOC,2025-07-30,Bearish,17.94,-0.29,7.21,10.67,147.91
VSH,2025-08-12,Bearish,15.46,-2.21,2.11,2.39,113.57
WERN,2025-08-22,Bullish,28.85,3.0,1.01,0.9,89.38
LLY,2025-07-30,Bearish,732.58002,-6.42,3.17,4.34,137.04
XOM,2025-08-27,Bullish,114.29,4.54,15.81,15.26,96.54
MA,2025-07-25,Bullish,595.28998,6.35,2.65,1.51,57.09
MRK,2025-08-15,Bullish,84.12,3.32,11.96,10.48,87.64
MCD,2025-08-11,Bullish,313.54001,3.96,3.43,2.65,77.14
CMCSA,2025-07-25,Bearish,33.97,-3.1,18.11,32.92,181.84
ABT,2025-08-25,Bullish,132.66,1.41,5.52,4.71,85.28
DHR,2025-07-28,Bullish,205.82001,3.9,4.21,5.16,122.57
TXN,2025-08-22,Bullish,202.48,3.65,6.43,6.18,96.12
PM,2025-07-28,Bearish,167.13,-3.63,6.11,8.68,141.96
VZ,2025-08-13,Bullish,44.23,3.31,18.83,14.33,76.09
INTU,2025-08-20,Bearish,667.0,-9.73,1.73,2.1,121.39
AMGN,2025-08-28,Bearish,287.70999,-1.48,2.09,1.89,90.08
UNP,2025-07-31,Bearish,223.57001,-1.75,5.04,5.55,110.09
IBM,2025-08-04,Bearish,243.49001,-9.82,5.56,5.28,95.02
HON,2025-08-08,Bearish,219.5,-2.46,3.83,3.06,79.93
QCOM,2025-08-18,Bullish,160.73,4.38,8.61,4.77,55.46
AMAT,2025-08-20,Bearish,160.75999,-9.88,8.09,9.32,115.21
PLD,2025-08-22,Bullish,113.78,5.74,3.27,3.55,108.66
NOW,2025-08-01,Bearish,917.46002,-5.79,1.62,1.81,111.59
SYK,2025-08-22,Bullish,391.41,1.5,1.35,0.9,66.6
TJX,2025-08-04,Bullish,136.61,8.97,4.7,4.81,102.38
DE,2025-08-18,Bearish,478.64001,-5.07,1.41,1.39,98.47
AMT,2025-08-06,Bearish,203.85001,-6.35,2.09,1.63,78.26
BDX,2025-08-11,Bullish,192.925,6.46,3.16,2.77,87.63
SHW,2025-08-12,Bullish,361.16,4.25,2.11,2.57,121.77
CME,2025-08-26,Bearish,266.715,-3.02,1.94,3.3,169.79
EOG,2025-08-22,Bullish,124.73,5.13,2.82,2.25,79.66
TGT,2025-08-26,Bearish,95.19,-6.36,7.93,6.4,80.65
WM,2025-08-18,Bearish,226.39,-1.51,1.84,3.44,187.17
SLB,2025-08-29,Bullish,36.335,4.8,11.99,11.88,99.11
AON,2025-08-11,Bullish,367.31,1.94,1.44,1.27,88.55
TRV,2025-08-11,Bullish,271.26,3.37,1.32,0.94,71.13
MNST,2025-08-11,Bullish,62.32,2.46,6.63,8.59,129.66
KHC,2025-07-24,Bullish,27.6,0.69,19.82,7.41,37.38
ALL,2025-08-06,Bullish,203.69,2.64,1.72,1.42,82.73
AFL,2025-08-19,Bullish,105.79,2.43,2.48,2.28,91.58
KMI,2025-08-06,Bearish,26.745,-3.62,17.76,38.85,218.75
ROST,2025-08-04,Bullish,146.88,8.25,2.45,2.69,109.76
CTAS,2025-08-25,Bearish,207.735,-5.17,1.52,3.86,254.32
DLR,2025-08-18,Bearish,164.84,-3.6,1.48,1.63,110.12
WMB,2025-08-06,Bearish,57.28,-2.89,7.02,7.83,111.53
PRU,2025-08-20,Bullish,107.39,2.36,1.78,1.54,86.5
HPQ,2025-08-15,Bullish,28.05,8.93,7.41,6.97,94.16
A,2025-08-13,Bullish,124.07,6.46,1.47,0.98,66.94
KR,2025-08-29,Bearish,68.675,-2.14,6.59,5.42,82.23
ACGL,2025-08-22,Bullish,91.86,1.73,2.23,1.82,81.57
ODFL,2025-07-30,Bearish,150.265,-7.96,1.67,5.56,332.34
PPG,2025-08-01,Bearish,109.79,-2.42,2.05,1.99,97.21
CAH,2025-08-14,Bearish,148.22,-4.73,2.35,2.79,118.55
AWK,2025-08-01,Bullish,143.35,1.29,1.24,2.69,217.08
KMB,2025-08-26,Bearish,128.8,-2.46,2.58,3.17,122.47
ED,2025-08-18,Bearish,97.48,-5.04,2.33,2.79,119.7
PCG,2025-08-20,Bullish,15.3,3.17,27.87,24.84,89.12
HIG,2025-08-06,Bullish,131.175,5.53,1.66,1.43,86.14
ON,2025-08-19,Bearish,48.5,-6.82,11.11,5.75,51.72
IR,2025-08-06,Bearish,78.11,-6.17,3.61,4.01,110.99
SWKS,2025-08-15,Bullish,72.91,1.59,2.67,2.36,88.66
EXR,2025-07-31,Bearish,142.11,-4.13,1.2,4.36,363.53
DVN,2025-08-08,Bullish,36.04,9.51,8.01,9.27,115.76
TTWO,2025-08-26,Bullish,233.16,1.58,1.88,2.17,115.26
FANG,2025-08-28,Bullish,148.205,3.66,2.05,1.06,51.76
BALL,2025-08-15,Bearish,51.39,-7.63,2.48,1.4,56.38
LYB,2025-08-01,Bearish,55.34,-9.48,4.43,10.56,238.33
DGX,2025-08-12,Bullish,181.43,4.84,1.33,0.76,57.27
AKAM,2025-07-31,Bearish,78.11,-1.1,1.34,1.73,129.27
WRB,2025-08-20,Bullish,71.74,1.83,1.92,1.28,66.8
FE,2025-07-25,Bullish,43.44,6.52,4.01,5.69,141.77
DRI,2025-07-28,Bearish,206.64,-1.65,1.15,1.23,106.16
TTWO,2025-08-26,Bullish,234.325,2.09,1.88,2.17,115.26
JBHT,2025-08-08,Bearish,142.9,-1.61,1.19,0.99,83.36
BBY,2025-08-19,Bullish,72.81,4.65,3.08,5.74,186.14
IP,2025-08-11,Bearish,49.18,-0.42,5.21,3.12,59.87
CF,2025-08-11,Bearish,87.115,-3.81,2.64,3.05,115.56
LUV,2025-08-06,Bearish,32.66,0.04,13.64,8.84,64.78
PFG,2025-08-26,Bullish,79.375,0.94,1.36,0.97,71.41
BXP,2025-08-29,Bullish,72.13,5.78,1.46,1.09,74.4
LW,2025-07-28,Bullish,57.035,6.51,3.12,2.31,74.07
FMC,2025-08-04,Bearish,38.535,-7.09,1.77,1.94,109.63
SEE,2025-08-25,Bullish,32.12,3.97,1.68,1.12,66.81
WHR,2025-08-05,Bearish,91.91,-0.35,2.4,1.44,60.13
PNW,2025-08-28,Bearish,89.22,-2.09,1.09,1.11,102.15
REG,2025-08-05,Bullish,72.495,1.88,1.16,1.55,134.26
DOV,2025-08-07,Bearish,176.235,-3.04,1.27,0.72,56.72
OMC,2025-08-15,Bullish,78.09,5.77,3.65,3.13,85.55
DOC,2025-07-30,Bearish,17.96,-0.18,7.21,10.67,147.91
Bullish_Tickers,,,,"GLPI,FBIN,SCI,WTRG,DBX,ONTO,KBR,ORI,BRX,AXTA,STAG,EQH,FNF,FNF,OGE,MTDR,GMED,G,STWD,PR,VVV,MTG,SNV,ONB,WLK,POR,EQH,PK,NEOG,LEG,WERN,XOM,MA,MRK,MCD,ABT,DHR,TXN,VZ,QCOM,PLD,SYK,TJX,BDX,SHW,EOG,SLB,AON,TRV,MNST,KHC,ALL,AFL,ROST,PRU,HPQ,A,ACGL,AWK,PCG,HIG,SWKS,DVN,TTWO,FANG,DGX,WRB,FE,TTWO,BBY,PFG,BXP,LW,SEE,REG,OMC",,,
Bearish_Tickers,,,,"DT,KNX,CCK,MIDD,ARMK,MAT,DAR,UGI,SLM,VNO,AM,MDU,CNX,DOC,VSH,LLY,CMCSA,PM,INTU,AMGN,UNP,IBM,HON,AMAT,NOW,DE,AMT,CME,TGT,WM,KMI,CTAS,DLR,WMB,KR,ODFL,PPG,CAH,KMB,ED,ON,IR,EXR,BALL,LYB,AKAM,DRI,JBHT,IP,CF,LUV,FMC,WHR,PNW,DOV,DOC",,,
Delta_Bullish,,,,"ONB,WLK,XOM,MA,MRK,MCD,ABT,DHR,TXN,VZ,QCOM,PLD,SYK,TJX,BDX,SHW,EOG,SLB,AON,TRV,MNST,KHC,ALL,AFL,HPQ,PCG,HIG,SWKS,DVN,TTWO,FANG,DGX,WRB,FE,TTWO,BBY",,,
Delta_Bearish,,,,"LLY,CMCSA,PM,INTU,AMGN,UNP,IBM,HON,AMAT,NOW,DE,AMT,CME,TGT,WM,ED,ON,IR,EXR,BALL,LYB,AKAM,DRI,JBHT,IP,CF,LUV,WHR",,,
