Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
GGG,2026-09-09,Bearish,76.09,-3.5,2.49,1.09,43.96
RPM,2026-09-02,Bearish,99.41,-7.93,1.55,1.17,75.36
WPC,2026-08-10,Bearish,66.31,-9.42,1.35,1.28,94.42
NBIX,2026-08-18,Bearish,151.58,-7.13,1.47,1.04,70.63
ELS,2026-09-02,Bearish,61.44,-4.73,1.22,1.13,92.86
NVT,2026-08-28,Bearish,151.57,-3.99,1.91,1.86,97.29
CUBE,2026-09-01,Bearish,39.99,-1.91,1.85,2.31,124.6
ALLY,2026-08-19,Bearish,40.87,-7.39,2.85,2.73,95.85
TREX,2026-09-15,Bearish,43.66,-3.75,1.37,1.21,88.42
NLY,2026-09-14,Bearish,21.42,-5.57,6.54,9.83,150.38
BJ,2026-09-15,Bullish,92.94,0.31,2.0,1.43,71.41
CELH,2026-09-10,Bearish,28.41,-6.84,8.91,9.01,101.09
ACHC,2026-09-04,Bearish,28.65,-1.61,1.54,0.84,54.23
OHI,2026-08-18,Bearish,47.52,-0.88,1.93,1.6,83.23
AGCO,2026-09-03,Bullish,121.96,8.68,1.11,1.71,154.31
ORI,2026-09-16,Bearish,40.715,-2.1,1.11,1.24,111.45
BRX,2026-08-11,Bearish,28.225,-9.3,2.28,2.1,91.9
STAG,2026-08-10,Bearish,37.47,-3.34,1.89,1.42,75.47
MAT,2026-09-09,Bearish,13.365,-8.39,3.29,3.63,110.32
CMC,2026-08-24,Bearish,67.475,-2.84,1.15,1.49,130.14
CGNX,2026-08-24,Bearish,60.62,-4.0,2.47,1.72,69.49
MTDR,2026-08-20,Bullish,57.715,9.17,2.42,2.36,97.8
GMED,2026-09-08,Bearish,75.26,-7.7,1.13,1.89,167.12
HR,2026-08-14,Bearish,18.485,-8.65,3.85,2.69,69.72
MUR,2026-09-03,Bullish,37.91,4.31,1.62,1.18,72.87
FLS,2026-09-16,Bearish,73.695,-2.96,1.62,2.15,132.72
M,2026-08-31,Bearish,21.84,-6.13,4.91,4.74,96.43
TKO,2026-08-26,Bearish,189.04,-1.53,1.2,0.74,61.41
ST,2026-08-19,Bearish,42.45,-7.32,1.75,2.95,167.96
UGI,2026-08-18,Bullish,38.43,7.61,2.07,13.24,640.31
KRG,2026-08-11,Bearish,25.545,-8.54,3.05,1.82,59.67
FNB,2026-09-02,Bearish,18.025,-3.21,3.2,4.07,127.11
ONB,2026-09-17,Bearish,25.415,-1.49,3.29,0.17,5.28
