Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
DECK,2025-12-16,Bullish,99.98,4.9,3.39,2.54,75.05
OC,2026-01-20,Bullish,124.39,5.24,1.15,1.32,114.67
WSM,2026-01-06,Bullish,204.5,9.34,1.24,1.42,114.63
RPM,2026-01-21,Bullish,109.48,0.88,1.16,1.15,98.97
WPC,2026-01-15,Bullish,69.37,4.85,1.27,1.48,116.65
NBIX,2026-01-06,Bearish,136.17999,-5.81,1.04,1.12,107.6
ELS,2026-01-20,Bullish,63.98,4.09,1.46,1.8,123.41
GLPI,2026-01-12,Bullish,45.41,2.06,2.72,2.23,81.89
OVV,2026-01-21,Bullish,41.02,4.37,3.37,4.5,133.34
CUBE,2026-01-21,Bullish,38.24,1.93,2.3,2.48,108.04
CG,2025-12-19,Bullish,61.28,7.69,2.55,3.14,123.21
TREX,2026-01-22,Bullish,42.55,6.54,2.13,2.19,102.91
TTEK,2026-01-08,Bullish,36.97,7.81,1.83,2.59,141.28
CCK,2025-12-15,Bullish,103.92,7.02,2.16,2.16,100.12
BJ,2026-01-22,Bullish,97.45,4.82,1.59,1.61,100.69
WTRG,2026-01-16,Bullish,39.19,0.84,1.67,3.32,197.95
UNM,2025-12-17,Bullish,76.099998,0.4,1.45,1.35,93.35
MTN,2025-12-26,Bearish,138.21001,-6.21,1.03,1.15,112.22
ARMK,2026-01-14,Bullish,39.080002,2.71,2.0,3.24,162.43
NNN,2026-01-16,Bullish,42.26,3.45,1.45,1.4,96.21
KBR,2026-01-21,Bullish,44.37,2.82,1.36,0.89,65.13
RRC,2025-12-17,Bearish,36.34,-2.52,3.34,2.83,84.92
FLR,2026-01-22,Bullish,45.58,4.74,2.74,1.89,68.76
STAG,2025-12-29,Bearish,36.63,-3.0,1.29,0.78,60.24
EQH,2026-01-13,Bearish,45.64,-4.69,2.14,1.72,80.43
FNF,2025-12-24,Bearish,53.42,-3.89,1.35,0.54,40.04
