Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
OC,2026-01-20,Bullish,119.88,1.42,1.15,1.32,114.67
WSM,2026-01-06,Bullish,205.66,9.96,1.24,1.42,114.63
RPM,2026-01-29,Bearish,107.76,-0.62,1.27,1.19,94.28
WPC,2026-01-15,Bullish,69.17,4.55,1.27,1.48,116.65
NBIX,2026-01-06,Bearish,137.96001,-4.58,1.04,1.12,107.6
BURL,2025-12-23,Bullish,292.51001,8.27,1.26,0.56,44.53
ELS,2026-01-20,Bullish,62.77,2.12,1.46,1.8,123.41
GLPI,2026-01-12,Bullish,45.36,1.95,2.72,2.23,81.89
FND,2026-01-13,Bullish,68.26,3.28,2.59,2.07,79.88
FBIN,2026-01-06,Bullish,55.0,7.81,1.39,1.83,131.92
CUBE,2026-01-21,Bullish,37.61,0.25,2.3,2.48,108.04
TREX,2026-01-22,Bullish,41.78,4.61,2.13,2.19,102.91
ARMK,2026-01-14,Bullish,38.49,1.16,2.0,3.24,162.43
NNN,2026-01-16,Bullish,41.82,2.37,1.45,1.4,96.21
KBR,2026-01-21,Bullish,43.23,0.18,1.36,0.89,65.13
ORI,2026-01-22,Bearish,39.09,-9.74,1.71,7.0,410.08
FLR,2026-01-22,Bullish,46.96,7.91,2.74,1.89,68.76
STAG,2025-12-29,Bearish,37.28,-1.28,1.29,0.78,60.24
EQH,2026-01-13,Bearish,46.099998,-3.73,2.14,1.72,80.43
FNF,2025-12-24,Bearish,54.47,-2.0,1.35,0.54,40.04
FNF,2025-12-24,Bearish,54.47,-2.0,1.35,0.54,40.04
OLN,2026-01-09,Bullish,22.34,4.33,2.53,6.86,270.81
CGNX,2026-01-23,Bullish,39.09,0.21,1.46,1.48,101.01
MTDR,2026-01-27,Bullish,44.78,4.92,1.7,1.4,82.66
AR,2026-01-29,Bullish,35.3,4.2,6.61,5.01,75.74
FAF,2026-01-29,Bullish,64.059998,2.08,1.03,0.9,87.07
PBF,2026-01-23,Bullish,33.26,7.52,3.77,2.8,74.21
VVV,2026-01-28,Bullish,32.56,2.36,1.93,2.02,104.9
MTG,2026-01-15,Bearish,27.01,-4.55,2.12,2.42,114.29
HALO,2026-01-05,Bullish,73.34,8.55,2.05,2.9,141.26
KBH,2025-12-23,Bearish,57.78,-6.48,1.46,1.36,93.11
AM,2026-01-22,Bullish,18.72,4.35,2.38,2.57,108.08
EQH,2026-01-13,Bearish,46.099998,-3.73,2.14,1.72,80.43
CNXC,2026-01-28,Bearish,38.62,-6.45,1.13,1.33,117.45
GME,2026-01-28,Bullish,22.81,3.04,8.54,8.51,99.68
CUZ,2026-01-28,Bearish,25.29,-2.65,1.55,1.94,125.64
NSP,2026-01-12,Bullish,40.86,0.93,1.39,2.21,158.89
RUN,2026-01-23,Bullish,19.76,7.16,6.9,8.0,115.99
PK,2026-01-09,Bullish,10.9,0.81,3.35,4.39,131.09
ADNT,2026-01-16,Bullish,21.040001,2.31,1.3,1.77,136.56
NSA,2026-01-14,Bullish,31.83,6.89,1.45,1.94,133.72
CDP,2026-01-14,Bullish,30.21,4.29,1.09,0.71,64.89
MP,2026-01-16,Bullish,62.16,2.31,7.87,6.76,85.9
MPW,2026-01-28,Bearish,5.05,-2.11,6.45,6.54,101.38
HTZ,2026-01-27,Bearish,5.08,-7.05,5.34,4.75,89.02
PCG,2026-01-20,Bearish,15.16,-3.64,17.71,27.14,153.3
HIG,2026-01-22,Bearish,132.37,-0.89,1.26,1.53,121.86
EBAY,2026-01-06,Bullish,94.41,9.88,4.44,4.65,104.61
EXR,2026-01-14,Bullish,138.87,2.83,1.29,1.73,133.81
TTWO,2026-01-21,Bearish,239.27,-3.28,1.09,1.27,116.13
DTE,2026-01-28,Bullish,134.44,0.7,1.46,0.99,67.94
CLX,2026-01-23,Bullish,109.7,2.53,2.16,3.24,149.87
ETR,2026-01-16,Bullish,96.029999,2.51,2.27,2.13,94.01
CARR,2026-01-27,Bullish,59.79,7.57,6.73,6.1,90.68
HPE,2026-01-13,Bearish,22.01,-5.51,19.56,11.5,58.8
LYB,2026-01-14,Bullish,49.95,8.34,5.39,10.41,193.16
MKC,2026-01-22,Bearish,61.32,-8.26,3.84,17.06,444.04
PPL,2026-01-22,Bullish,36.31,2.13,5.31,6.21,116.92
FE,2026-01-16,Bullish,47.33,4.44,4.23,8.69,205.5
DRI,2025-12-26,Bullish,199.33,8.15,1.75,0.84,48.01
TTWO,2026-01-21,Bearish,239.27,-3.28,1.09,1.27,116.13
LKQ,2026-01-07,Bullish,32.62,7.27,6.27,2.23,35.53
RJF,2025-12-22,Bullish,167.61,3.7,1.42,1.36,95.84
AES,2025-12-22,Bullish,15.04,8.96,6.86,7.9,115.14
AEE,2026-01-21,Bullish,103.77,2.32,1.37,1.42,103.78
AOS,2026-01-08,Bullish,73.17,7.78,1.12,1.86,166.47
HRL,2026-01-20,Bullish,24.44,3.0,4.55,4.14,90.99
PNR,2026-01-26,Bullish,105.91,0.36,1.47,1.16,78.47
MAS,2026-01-12,Bullish,66.28,1.51,2.26,1.98,87.47
NI,2026-01-16,Bullish,44.65,5.51,3.14,4.46,141.87
CHD,2026-01-15,Bullish,91.96,6.98,2.15,2.13,99.14
WHR,2026-01-09,Bullish,76.96,1.09,1.22,1.35,111.02
FFIV,2026-01-28,Bullish,282.53,6.03,1.17,2.87,244.82
PNW,2026-01-14,Bullish,93.040001,4.44,1.18,1.88,159.82
KIM,2026-01-26,Bullish,20.71,0.38,4.38,4.17,95.16
REG,2026-01-21,Bullish,71.98,3.06,1.13,1.61,142.61
UDR,2025-12-30,Bullish,36.91,2.63,2.7,2.28,84.42
LNT,2026-01-22,Bullish,66.33,0.19,1.81,1.87,103.37
TAP,2026-01-08,Bullish,47.57,1.98,2.89,3.6,124.84
MGM,2026-01-26,Bearish,33.34,-4.58,4.36,3.09,70.77
NWSA,2026-01-29,Bullish,26.77,1.08,2.97,3.06,103.07
Bullish_Tickers,,,,"OC,WSM,WPC,BURL,ELS,GLPI,FND,FBIN,CUBE,TREX,ARMK,NNN,KBR,FLR,OLN,CGNX,MTDR,AR,FAF,PBF,VVV,HALO,AM,GME,NSP,RUN,PK,ADNT,NSA,CDP,MP,EBAY,EXR,DTE,CLX,ETR,CARR,LYB,PPL,FE,DRI,LKQ,RJF,AES,AEE,AOS,HRL,PNR,MAS,NI,CHD,WHR,FFIV,PNW,KIM,REG,UDR,LNT,TAP,NWSA",,,
Bearish_Tickers,,,,"RPM,NBIX,ORI,STAG,EQH,FNF,FNF,MTG,KBH,EQH,CNXC,CUZ,MPW,HTZ,PCG,HIG,TTWO,HPE,MKC,TTWO,MGM",,,
Delta_Bullish,,,,"CUBE,AR,FAF,HALO,RUN,PK,MP,EBAY,EXR,DTE,CLX,ETR,CARR,LYB,AES,PNR,KIM,NWSA",,,
Delta_Bearish,,,,"RPM,KBH,CNXC,PCG,HIG,HPE",,,
