Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
XPO,2025-10-30,Bullish,135.47,4.63,1.4,2.88,205.81
ELS,2025-11-10,Bullish,61.67,0.5,2.33,1.37,58.67
OVV,2025-10-10,Bearish,38.81,-4.09,2.99,3.49,116.5
CUBE,2025-10-31,Bearish,36.65,-9.95,1.78,4.49,252.01
ALLY,2025-11-06,Bearish,39.21,-1.75,3.71,4.45,119.92
KNX,2025-10-16,Bullish,43.92,2.78,4.23,5.97,141.11
CCK,2025-11-10,Bullish,100.97,4.37,1.65,1.65,100.07
UNM,2025-11-04,Bullish,77.0,1.96,1.36,3.88,286.08
DBX,2025-11-07,Bullish,30.4,3.75,3.32,9.07,273.15
WBS,2025-10-16,Bearish,56.7,-3.76,1.47,4.15,283.0
FHN,2025-10-17,Bearish,21.42,-3.22,16.77,25.19,150.18
ARMK,2025-10-29,Bearish,38.53,-1.88,2.24,2.28,101.8
OHI,2025-11-03,Bullish,43.45,6.55,1.72,2.38,138.69
NNN,2025-10-24,Bearish,41.040001,-3.06,1.0,1.38,137.88
BRX,2025-11-03,Bearish,26.44,-2.33,2.48,2.38,95.94
STAG,2025-10-07,Bullish,38.65,8.29,1.74,1.18,67.51
JEF,2025-10-10,Bearish,55.89,-9.07,2.95,5.13,173.85
MAT,2025-10-23,Bullish,19.56,8.63,4.49,6.5,144.62
DAR,2025-10-29,Bullish,34.63,6.93,2.51,1.73,68.97
OGE,2025-11-06,Bearish,44.97,-0.43,1.08,0.93,85.85
EXEL,2025-11-10,Bullish,42.35,7.72,3.25,2.63,80.9
AR,2025-11-13,Bullish,34.34,3.89,4.85,4.28,88.4
ADC,2025-10-20,Bullish,73.7,1.62,1.02,1.13,111.05
H,2025-11-07,Bullish,152.12,5.67,1.13,1.77,157.02
TMHC,2025-10-10,Bearish,59.79,-9.0,1.08,0.89,82.37
MTG,2025-11-05,Bullish,28.19,2.79,1.84,1.94,105.1
TKO,2025-11-06,Bearish,182.64,-3.0,1.21,3.36,277.69
UGI,2025-11-13,Bullish,34.96,3.63,1.6,2.77,172.96
KRG,2025-11-07,Bullish,22.5,0.95,1.9,1.47,76.98
OLLI,2025-10-08,Bearish,126.32,-3.21,1.1,1.05,96.01
HALO,2025-11-13,Bullish,71.19,4.46,2.33,3.51,150.42
FNB,2025-11-11,Bullish,15.85,0.35,12.65,4.67,36.95
ONB,2025-10-10,Bearish,20.79,-5.34,5.21,6.49,124.53
HOG,2025-10-29,Bearish,24.81,-9.38,1.35,1.21,89.48
GBCI,2025-10-21,Bearish,42.3,-9.8,1.17,1.07,91.58
AM,2025-10-27,Bearish,17.92,-2.34,1.87,2.45,130.92
JHG,2025-10-27,Bullish,43.75,0.98,1.5,6.95,463.87
