Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
ELS,2026-01-20,Bullish,67.18,9.3,1.46,1.8,123.41
GLPI,2026-01-12,Bullish,46.2,3.84,2.72,2.23,81.89
FND,2026-01-13,Bullish,69.32,4.89,2.59,2.07,79.88
CUBE,2026-01-21,Bullish,38.55,2.75,2.3,2.48,108.04
CG,2026-02-11,Bearish,54.45,-8.46,3.37,4.08,120.92
ALLY,2026-02-10,Bearish,40.83,-4.75,4.23,3.12,73.76
TREX,2026-01-22,Bullish,42.65,6.79,2.13,2.19,102.91
TTEK,2026-01-06,Bullish,35.66,4.15,1.8,1.95,108.26
BJ,2026-01-22,Bullish,100.56,8.17,1.59,1.61,100.69
WTRG,2026-02-02,Bearish,38.58,-0.77,1.9,1.77,93.01
UNM,2026-02-05,Bearish,70.82,-7.88,1.36,2.79,205.5
GNTX,2026-02-11,Bullish,24.42,1.89,2.98,1.62,54.41
ARMK,2026-01-14,Bullish,39.16,2.92,2.0,3.24,162.43
BWXT,2026-01-08,Bullish,196.89999,8.34,1.0,1.41,140.24
OHI,2026-02-05,Bullish,47.040001,7.15,2.18,3.79,174.03
NNN,2026-01-16,Bullish,43.63,6.8,1.45,1.4,96.21
KBR,2026-02-11,Bearish,40.15,-6.66,1.27,1.93,152.09
ORI,2026-01-22,Bearish,42.63,-1.56,1.71,7.0,410.08
FLR,2026-01-22,Bullish,45.67,4.95,2.74,1.89,68.76
EQH,2026-01-13,Bearish,43.58,-8.99,2.14,1.72,80.43
FNF,2026-02-06,Bullish,57.0,3.67,1.65,1.96,118.91
FNF,2026-02-06,Bullish,57.0,3.67,1.65,1.96,118.91
WH,2026-02-11,Bullish,77.68,1.19,1.46,1.07,73.15
OGE,2026-02-11,Bullish,46.14,5.44,1.64,1.64,100.08
MTDR,2026-01-27,Bullish,46.84,9.75,1.7,1.4,82.66
FAF,2026-01-29,Bullish,66.14,5.4,1.03,0.9,87.07
CBSH,2026-01-08,Bullish,53.9,1.69,1.04,0.98,94.12
ADC,2026-02-05,Bullish,76.58,5.56,1.35,1.53,113.62
PBF,2026-01-23,Bullish,33.67,8.85,3.77,2.8,74.21
MTG,2026-01-15,Bearish,27.42,-3.1,2.12,2.42,114.29
KBH,2026-02-11,Bullish,63.96,5.83,1.14,0.74,64.95
FLO,2026-02-10,Bullish,11.35,0.14,3.79,4.58,121.01
RYN,2026-02-10,Bearish,22.49,-1.36,3.52,3.17,90.02
OZK,2026-01-30,Bullish,48.88,3.52,1.68,1.63,96.72
EQH,2026-01-13,Bearish,43.58,-8.99,2.14,1.72,80.43
GME,2026-01-28,Bullish,23.52,6.25,8.54,8.51,99.68
IRT,2026-01-30,Bearish,15.93,-6.01,2.48,1.95,78.53
PK,2026-01-09,Bullish,11.42,5.62,3.35,4.39,131.09
SBRA,2026-02-10,Bullish,20.25,7.22,2.76,2.98,108.16
DOC,2026-02-03,Bearish,16.28,-5.25,10.29,19.36,188.26
TGNA,2026-02-11,Bullish,20.79,6.95,1.76,2.26,128.46
CDP,2026-01-14,Bullish,31.76,9.64,1.09,0.71,64.89
MPW,2026-02-06,Bullish,5.56,7.76,5.92,4.74,79.98
HTZ,2026-01-27,Bearish,5.12,-6.31,5.34,4.75,89.02
PSA,2026-01-20,Bullish,292.37,6.16,1.26,1.77,140.09
OXY,2026-01-15,Bullish,45.49,8.35,11.32,14.14,124.85
PEG,2026-02-10,Bullish,84.54,4.94,3.27,1.48,45.29
CTAS,2026-01-15,Bullish,196.10001,3.13,1.81,1.83,101.0
PRU,2026-02-04,Bearish,104.15,-5.78,2.29,6.93,303.08
OTIS,2026-02-06,Bullish,91.75,3.09,3.99,4.72,118.42
XEL,2026-02-12,Bullish,78.98,3.55,5.64,5.51,97.76
WEC,2026-01-30,Bullish,114.029999,5.27,2.22,3.27,147.23
KR,2026-02-09,Bullish,70.14,9.25,7.05,16.07,227.87
EXC,2026-02-12,Bullish,47.55,6.85,9.55,24.17,253.0
RSG,2026-02-05,Bullish,220.87,2.75,1.44,2.02,140.03
FTNT,2026-02-10,Bullish,84.26,3.9,7.77,7.86,101.15
FAST,2026-01-21,Bullish,45.54,7.94,8.36,12.91,154.47
DHI,2026-02-04,Bullish,164.59,8.12,3.76,4.0,106.35
NI,2026-01-16,Bullish,45.18,6.76,3.14,4.46,141.87
PNW,2026-01-14,Bullish,97.32,9.24,1.18,1.88,159.82
KIM,2026-01-26,Bullish,22.32,8.19,4.38,4.17,95.16
REG,2026-01-21,Bullish,75.63,8.29,1.13,1.61,142.61
LNT,2026-01-22,Bullish,69.68,5.25,1.81,1.87,103.37
DOC,2026-02-03,Bearish,16.28,-5.25,10.29,19.36,188.26
Bullish_Tickers,,,,"ELS,GLPI,FND,CUBE,TREX,TTEK,BJ,GNTX,ARMK,BWXT,OHI,NNN,FLR,FNF,FNF,WH,OGE,MTDR,FAF,CBSH,ADC,PBF,KBH,FLO,OZK,GME,PK,SBRA,TGNA,CDP,MPW,PSA,OXY,PEG,CTAS,OTIS,XEL,WEC,KR,EXC,RSG,FTNT,FAST,DHI,NI,PNW,KIM,REG,LNT",,,
Bearish_Tickers,,,,"CG,ALLY,WTRG,UNM,KBR,ORI,EQH,MTG,RYN,EQH,IRT,DOC,HTZ,PRU,DOC",,,
Delta_Bullish,,,,"TREX,TTEK,ARMK,MTDR,PBF,CDP,MPW,OXY,XEL,EXC,FAST",,,
Delta_Bearish,,,,HTZ,,,
