Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
GGG,2026-03-20,Bearish,83.76,-5.2,1.07,1.98,185.93
WPC,2026-03-27,Bearish,67.61,-3.36,1.12,1.08,97.11
IBKR,2026-03-11,Bearish,64.2,-9.45,4.51,3.18,70.45
CUBE,2026-03-25,Bearish,35.96,-6.44,2.64,1.93,73.02
EWBC,2026-03-09,Bearish,103.96,-8.44,1.01,1.54,152.03
KNX,2026-03-23,Bearish,55.55,-0.74,3.16,3.28,103.72
NLY,2026-03-11,Bearish,20.77,-9.15,7.44,4.7,63.15
THC,2026-03-27,Bearish,191.86,-9.79,1.02,0.6,58.93
CCK,2026-03-20,Bearish,99.58,-6.43,1.1,1.88,170.21
WTRG,2026-02-24,Bullish,40.34,4.14,2.19,3.34,152.7
GNTX,2026-02-26,Bearish,21.72,-9.46,2.47,1.59,64.1
FHN,2026-03-09,Bearish,22.13,-8.11,6.27,5.81,92.58
RGLD,2026-03-23,Bearish,237.53999,-8.16,1.26,1.51,120.21
EHC,2026-03-11,Bearish,97.57,-8.14,1.15,1.13,98.55
STAG,2026-03-23,Bearish,36.09,-5.39,1.26,1.58,125.4
WH,2026-03-26,Bullish,79.43,1.78,1.25,1.39,110.98
CROX,2026-03-12,Bearish,79.54,-8.78,1.61,1.13,70.07
EXEL,2026-03-05,Bearish,41.53,-3.6,3.24,3.44,106.2
FAF,2026-03-20,Bearish,58.47,-9.76,1.09,3.01,275.37
GMED,2026-03-23,Bearish,83.78,-4.9,1.12,0.78,69.18
CBSH,2026-02-27,Bearish,48.07,-9.76,1.42,2.07,145.2
HXL,2026-03-27,Bearish,79.38,-4.32,1.31,0.83,63.73
PB,2026-03-09,Bearish,65.36,-7.91,1.27,1.81,142.18
TMHC,2026-03-12,Bearish,57.33,-9.17,1.17,1.21,103.06
FLS,2026-03-23,Bearish,72.15,-7.68,1.73,2.53,145.61
TKO,2026-03-19,Bearish,189.2,-7.79,1.24,1.32,106.02
SFM,2026-03-18,Bullish,77.4,0.47,3.24,3.92,120.7
UGI,2026-03-06,Bearish,36.67,-2.59,1.72,1.04,60.31
BYD,2026-03-03,Bearish,80.16,-4.75,1.09,2.04,186.29
OZK,2026-03-06,Bearish,44.52,-7.12,1.11,1.74,157.34
HOMB,2026-03-04,Bearish,26.43,-7.88,1.34,1.55,115.05
GPS,2026-03-10,Bearish,24.74,-7.01,8.36,10.82,129.41
GBCI,2026-03-06,Bearish,43.47,-8.67,1.02,1.01,99.17
COLB,2026-03-10,Bearish,26.7,-8.48,3.05,2.53,83.1
ARWR,2026-03-13,Bearish,57.78,-6.08,2.37,4.48,188.75
WU,2026-03-23,Bearish,8.73,-7.49,9.01,9.26,102.78
MAN,2026-02-20,Bearish,28.42,-9.12,1.65,1.29,78.04
VLY,2026-03-18,Bearish,11.95,-3.01,8.13,11.17,137.4
PK,2026-03-12,Bearish,10.43,-5.94,4.45,3.03,68.22
PNM,2026-03-18,Bearish,58.34,-0.8,1.38,1.91,138.15
CRI,2026-03-20,Bearish,34.82,-2.48,1.53,3.46,225.6
ASB,2026-03-09,Bearish,24.87,-7.58,2.47,2.65,107.34
DOC,2026-03-25,Bearish,16.59,-3.54,7.62,8.25,108.29
TGNA,2026-02-11,Bullish,20.030001,3.04,1.76,2.26,128.46
LIVN,2026-03-20,Bearish,61.85,-3.07,1.05,1.2,114.66
UA,2026-03-30,Bearish,5.67,-7.49,2.53,0.0,0.02
WU,2026-03-23,Bearish,8.86,-6.11,9.01,9.26,102.78
AAPL,2026-03-06,Bearish,247.05,-6.73,45.9,41.12,89.58
WRB,2026-03-10,Bearish,65.23,-7.23,2.11,1.67,79.18
EXPD,2026-02-27,Bearish,142.22,-6.1,2.1,2.16,102.86
DRI,2026-03-27,Bearish,193.64,-4.44,1.74,1.45,83.49
AES,2026-03-16,Bearish,14.06,-5.42,17.81,13.97,78.44
PFG,2026-03-17,Bearish,87.28,-3.93,1.79,1.35,75.39
HRL,2026-03-12,Bearish,23.05,-4.68,4.96,3.81,76.67
TXT,2026-03-25,Bearish,87.09,-5.84,1.69,1.2,71.11
EMN,2026-03-26,Bullish,72.04,1.55,1.79,1.29,72.1
UDR,2026-03-16,Bearish,33.68,-8.91,3.36,2.24,66.78
INCY,2026-03-05,Bearish,91.44,-9.25,1.93,1.33,69.0
OMC,2026-03-26,Bearish,75.18,-3.39,4.87,4.16,85.34
DOC,2026-03-25,Bearish,16.67,-3.07,7.62,8.25,108.29
WY,2026-03-11,Bearish,24.32,-2.62,6.34,7.25,114.26
Bullish_Tickers,,,,"WTRG,WH,SFM,TGNA,EMN",,,
Bearish_Tickers,,,,"GGG,WPC,IBKR,CUBE,EWBC,KNX,NLY,THC,CCK,GNTX,FHN,RGLD,EHC,STAG,CROX,EXEL,FAF,GMED,CBSH,HXL,PB,TMHC,FLS,TKO,UGI,BYD,OZK,HOMB,GPS,GBCI,COLB,ARWR,WU,MAN,VLY,PK,PNM,CRI,ASB,DOC,LIVN,UA,WU,AAPL,WRB,EXPD,DRI,AES,PFG,HRL,TXT,UDR,INCY,OMC,DOC,WY",,,
Delta_Bullish,,,,"WTRG,WH,SFM,TGNA,EMN",,,
Delta_Bearish,,,,"GGG,WPC,IBKR,CUBE,EWBC,KNX,NLY,THC,CCK,GNTX,FHN,RGLD,EHC,STAG,CROX,EXEL,FAF,GMED,CBSH,HXL,PB,TMHC,FLS,TKO,UGI,BYD,OZK,HOMB,GPS,GBCI,COLB,ARWR,WU,MAN,VLY,PK,PNM,CRI,ASB,DOC,LIVN,UA,WU,AAPL,WRB,EXPD,DRI,AES,PFG,HRL,TXT,UDR,INCY,OMC,DOC,WY",,,
