Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
SMCI,2025-08-25,Bearish,44.07,-6.39,38.31,18.76,48.96
DT,2025-08-06,Bearish,48.41,-8.42,2.65,8.17,307.94
CUBE,2025-07-18,Bearish,40.4,-4.13,1.86,1.56,83.96
SCI,2025-08-12,Bullish,79.9,1.33,1.21,0.72,59.7
KNX,2025-07-31,Bearish,43.54,-2.58,3.07,4.44,144.37
WTRG,2025-08-12,Bullish,39.09,3.1,1.95,1.83,93.76
DBX,2025-08-25,Bullish,28.485,2.49,3.56,2.06,58.03
ONTO,2025-08-21,Bullish,108.32,4.78,1.53,0.62,40.58
MIDD,2025-08-06,Bearish,136.12,-5.49,1.0,4.89,488.19
ARMK,2025-08-20,Bearish,39.47,-3.01,2.54,4.82,189.49
NNN,2025-08-11,Bearish,42.029999,-0.66,1.34,0.73,54.37
KBR,2025-08-25,Bullish,50.99,3.28,1.56,1.08,69.49
ORI,2025-08-14,Bullish,39.58,6.41,1.47,1.01,68.59
NYT,2025-08-06,Bullish,59.56,9.89,2.19,6.98,319.09
BRX,2025-07-22,Bullish,27.52,7.07,2.35,2.11,89.91
STAG,2025-08-25,Bullish,36.4,2.73,1.39,0.8,57.42
EQH,2025-08-22,Bullish,52.88,0.35,3.09,2.79,90.26
MAT,2025-07-29,Bearish,18.28,-3.75,4.68,4.72,100.79
FNF,2025-08-08,Bullish,60.42,6.67,1.96,1.09,55.59
FNF,2025-08-08,Bullish,60.42,6.67,1.96,1.09,55.59
WH,2025-07-17,Bullish,87.48,2.6,1.34,1.65,123.31
OGE,2025-07-21,Bullish,45.15,1.98,1.24,1.25,100.39
EXEL,2025-08-01,Bearish,37.9,-9.76,3.69,5.81,157.4
OLN,2025-08-25,Bullish,22.95,9.64,2.84,1.98,69.58
STWD,2025-08-25,Bullish,20.15,1.03,2.85,2.1,73.67
VVV,2025-08-06,Bullish,39.27,7.83,1.96,3.07,156.92
MTG,2025-08-06,Bullish,27.92,6.71,2.44,1.92,78.58
TKO,2025-08-11,Bullish,183.72,9.76,1.02,2.66,260.54
