Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
OC,2026-05-26,Bullish,121.35,3.2,1.25,0.82,65.54
DT,2026-05-15,Bullish,40.35,7.64,7.49,8.55,114.24
PFGC,2026-05-08,Bullish,96.36,7.43,2.05,2.46,119.91
USFD,2026-05-11,Bearish,81.7,-9.34,2.31,3.53,153.08
TREX,2026-05-28,Bullish,41.71,5.83,2.11,0.04,1.8
SCI,2026-05-08,Bearish,76.62,-6.01,1.4,1.09,78.18
NLY,2026-05-15,Bearish,21.555,-3.41,5.37,6.48,120.65
TXRH,2026-05-15,Bullish,181.58,7.57,1.3,0.97,74.57
WTRG,2026-04-30,Bearish,36.84,-7.03,2.47,3.82,154.4
DBX,2026-05-08,Bullish,26.155,5.68,3.64,10.1,277.81
CHDN,2026-05-11,Bearish,89.42,-3.49,1.17,1.13,97.14
GNTX,2026-04-29,Bullish,24.065,6.41,2.12,1.93,90.67
SF,2026-05-11,Bearish,69.8,-9.6,1.42,2.62,184.7
BWXT,2026-05-19,Bearish,198.29,-5.92,1.06,1.07,100.92
ORI,2026-04-24,Bearish,37.92,-7.72,1.41,2.31,163.72
NYT,2026-05-15,Bearish,75.1,-4.55,2.1,1.86,88.19
RRC,2026-05-27,Bearish,39.37,-5.32,2.38,2.3,96.41
FLR,2026-05-18,Bearish,47.07,-1.19,3.23,3.08,95.34
GXO,2026-05-04,Bearish,50.48,-9.06,1.2,4.42,367.22
EQH,2026-05-05,Bullish,41.215,0.36,4.18,11.9,284.68
SEIC,2026-04-23,Bullish,88.115,9.3,1.08,2.45,227.06
FNF,2026-05-12,Bearish,47.945,-4.16,1.82,2.65,145.5
FNF,2026-05-12,Bearish,47.94,-4.17,1.82,2.65,145.5
WH,2026-05-28,Bullish,82.755,1.44,1.13,0.06,5.19
PNFP,2026-04-20,Bullish,97.31,6.71,1.35,1.72,127.4
AR,2026-05-11,Bearish,35.3,-7.26,4.91,3.76,76.58
GMED,2026-05-08,Bearish,82.595,-7.73,1.33,6.04,455.01
CBSH,2026-05-01,Bullish,52.06,2.28,1.25,1.15,92.19
ADC,2026-05-08,Bearish,74.58,-2.91,1.07,0.77,71.98
TMHC,2026-04-29,Bearish,58.69,-3.95,1.52,1.0,65.83
PBF,2026-05-28,Bearish,39.33,-4.12,3.04,0.06,1.81
STWD,2026-05-13,Bearish,17.195,-3.7,2.78,3.66,131.71
SON,2026-04-30,Bearish,49.59,-5.19,1.55,1.63,105.58
FLS,2026-05-05,Bearish,73.59,-6.31,2.9,3.56,122.77
MTG,2026-05-12,Bearish,25.71,-4.8,2.32,1.99,85.8
ASH,2026-05-28,Bullish,57.79,3.24,1.05,0.01,1.37
HALO,2026-05-20,Bullish,68.83,2.57,1.81,1.43,78.78
TEX,2026-05-20,Bearish,59.75,-2.0,1.25,1.27,102.12
POR,2026-05-01,Bearish,50.79,-1.84,1.2,2.03,168.52
EQH,2026-05-05,Bullish,41.325,0.63,4.18,11.9,284.68
GME,2026-05-15,Bearish,21.83,-7.66,10.56,5.35,50.63
NVST,2026-05-11,Bearish,23.445,-9.79,3.15,5.03,159.52
IRT,2026-05-06,Bullish,16.525,3.32,2.21,2.39,107.98
NEOG,2026-04-29,Bearish,9.29,-1.57,2.89,2.06,71.16
WEN,2026-05-15,Bullish,7.5,3.35,12.79,9.96,77.85
LEG,2026-05-08,Bearish,10.405,-3.98,4.7,2.36,50.25
GO,2026-05-28,Bullish,8.605,8.36,3.57,0.13,3.57
SMG,2026-05-04,Bearish,61.34,-3.5,1.03,1.42,138.04
MPW,2026-05-07,Bullish,5.08,0.13,5.34,9.56,179.05
SHC,2026-05-28,Bullish,15.805,1.55,4.49,0.19,4.28
UAA,2026-05-12,Bearish,6.065,-2.18,8.45,33.43,395.87
UA,2026-05-12,Bearish,5.9,-2.02,2.68,8.43,314.42
MRK,2026-05-26,Bullish,120.465,4.93,8.95,10.01,111.78
PEP,2026-05-04,Bearish,146.3,-6.23,5.89,5.33,90.53
WMT,2026-05-28,Bearish,117.63,-6.74,19.26,0.69,3.56
PFE,2026-05-04,Bearish,26.215,-2.54,34.14,34.58,101.3
BAC,2026-05-27,Bearish,50.9,-1.09,33.26,36.01,108.28
NFLX,2026-05-06,Bearish,86.115,-8.18,43.26,41.93,96.94
DIS,2026-05-07,Bullish,103.89,0.97,8.8,14.31,162.68
PM,2026-05-11,Bullish,179.965,7.67,4.85,7.02,144.81
VZ,2026-05-21,Bullish,48.14,1.58,22.2,15.84,71.34
NEE,2026-05-26,Bearish,88.04,-4.27,11.67,11.76,100.77
BMY,2026-05-07,Bearish,56.305,-3.32,10.17,10.42,102.42
RTX,2026-04-22,Bearish,180.355,-8.11,4.4,8.51,193.34
BA,2026-04-23,Bullish,228.47,4.41,6.72,8.09,120.44
GE,2026-05-28,Bullish,321.17,7.02,4.94,0.28,5.6
TJX,2026-05-07,Bearish,154.98,-1.38,4.21,4.67,110.92
DE,2026-05-20,Bearish,535.95,-6.78,1.0,1.44,143.53
ADP,2026-05-22,Bullish,219.59,2.89,3.03,2.28,75.23
AMT,2026-05-22,Bullish,186.81,4.37,2.99,2.07,69.32
SYF,2026-05-19,Bearish,70.965,-2.19,3.94,4.31,109.15
CI,2026-04-27,Bullish,286.88,4.36,1.4,1.47,105.08
GILD,2026-04-20,Bearish,135.22,-3.17,5.31,3.87,72.87
USB,2026-05-28,Bearish,54.25,-0.69,7.78,0.44,5.69
CL,2026-05-18,Bullish,91.89,5.85,5.32,4.65,87.39
SO,2026-05-11,Bearish,93.34,-1.08,4.9,4.43,90.47
NSC,2026-04-21,Bullish,309.605,4.61,1.42,0.9,63.63
CME,2026-04-20,Bearish,279.2,-6.64,2.22,2.07,93.38
DUK,2026-05-08,Bearish,124.54,-2.35,3.08,2.59,84.0
AEP,2026-05-28,Bearish,128.185,-1.84,4.72,0.3,6.45
KDP,2026-04-30,Bullish,30.145,9.72,12.57,10.52,83.73
ORLY,2026-05-13,Bearish,88.9,-4.56,5.63,6.41,113.92
KHC,2026-05-20,Bullish,24.585,6.88,14.63,13.96,95.43
