Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
DECK,2026-07-21,Bearish,99.02,-6.21,2.17,2.34,107.6
GDDY,2026-07-14,Bullish,87.77,2.45,2.48,1.16,46.68
GGG,2026-07-31,Bullish,80.78,4.63,1.48,1.84,124.57
VST,2026-07-30,Bearish,149.86,-4.16,4.06,4.6,113.38
WPC,2026-07-20,Bullish,73.99,1.37,1.65,1.62,98.2
ELS,2026-07-01,Bullish,66.135,4.29,1.59,1.31,82.38
FND,2026-06-26,Bullish,57.17,9.26,2.75,3.99,144.99
REXR,2026-07-20,Bullish,37.96,8.29,2.7,2.07,76.37
OVV,2026-07-21,Bullish,61.26,9.51,3.0,2.92,97.44
FIVE,2026-08-03,Bullish,215.26,5.95,1.07,0.03,2.7
TTC,2026-06-26,Bullish,94.28,2.1,1.22,1.18,96.39
RRX,2026-07-29,Bearish,209.495,-0.31,1.03,1.82,176.19
CLF,2026-07-01,Bearish,11.06,-2.53,19.68,20.45,103.89
NLY,2026-06-26,Bullish,23.01,4.22,9.07,12.86,141.78
LSCC,2026-07-29,Bearish,124.18,-5.3,1.8,2.08,115.11
BJ,2026-07-27,Bullish,99.41,9.52,1.74,1.33,76.24
WTRG,2026-07-09,Bullish,40.47,6.23,2.26,1.59,70.48
GNTX,2026-07-27,Bearish,23.555,-2.12,2.78,4.02,144.88
ONTO,2026-07-29,Bearish,262.74,-8.0,1.21,2.07,171.69
BRBR,2026-07-24,Bullish,12.9,5.61,5.26,3.39,64.35
GPK,2026-07-17,Bullish,11.075,4.74,4.62,3.97,85.76
EHC,2026-07-08,Bullish,112.38,8.51,1.21,1.15,95.46
OHI,2026-06-29,Bullish,49.75,7.47,2.66,1.8,67.61
KBR,2026-07-23,Bullish,37.23,5.59,1.78,1.72,96.77
ORI,2026-07-01,Bullish,43.495,9.87,1.72,4.16,242.3
MKSI,2026-07-30,Bearish,306.44,-7.52,1.4,3.02,215.93
STAG,2026-06-24,Bullish,38.12,0.05,1.37,1.86,136.11
NOV,2026-07-31,Bearish,19.465,-0.45,3.62,3.9,107.73
MAT,2026-08-03,Bullish,15.17,4.51,4.75,0.14,2.85
FNF,2026-07-15,Bullish,51.58,6.22,1.78,1.31,74.02
DAR,2026-07-13,Bullish,60.41,4.64,2.64,1.79,67.85
FNF,2026-07-15,Bullish,51.58,6.22,1.78,1.31,74.02
WH,2026-07-13,Bearish,76.47,-6.23,1.5,1.0,66.65
CMC,2026-07-01,Bearish,68.76,-2.96,1.57,1.86,118.46
ADC,2026-07-06,Bullish,77.46,2.52,1.22,1.57,128.57
VNT,2026-08-03,Bullish,32.71,6.03,1.33,0.03,2.01
PR,2026-07-21,Bullish,20.895,7.23,9.91,8.98,90.64
MUR,2026-07-29,Bullish,39.2,7.24,1.49,1.36,90.74
TKO,2026-07-10,Bearish,187.01,-5.23,1.8,1.59,88.55
GTLS,2026-06-22,Bullish,209.89999,1.19,1.26,0.93,73.79
UGI,2026-07-14,Bullish,36.3,2.99,1.49,1.0,67.38
LPX,2026-07-20,Bearish,73.51,-2.03,1.21,0.71,59.14
GT,2026-07-14,Bullish,7.08,8.7,11.87,5.73,48.28
WEN,2026-06-30,Bullish,7.46,2.74,29.48,30.06,101.95
LEG,2026-07-31,Bearish,9.91,-7.65,2.11,1.62,76.86
SBRA,2026-07-20,Bullish,20.955,6.63,3.37,2.85,84.71
LITE,2026-07-06,Bearish,763.545,-9.69,5.67,3.81,67.11
HGV,2026-08-03,Bearish,46.27,-6.42,1.05,0.05,4.84
ETR,2026-08-03,Bearish,108.13,-3.47,2.66,0.11,4.17
NDAQ,2026-07-17,Bullish,93.855,7.72,5.21,3.02,58.04
CARR,2026-07-30,Bearish,62.62,-6.75,7.13,11.64,163.25
XYL,2026-07-10,Bullish,118.47,2.24,1.92,1.4,72.74
FANG,2026-07-22,Bullish,199.02,4.83,2.14,1.58,73.67
VTR,2026-06-26,Bullish,93.115,9.93,4.23,5.5,129.99
MKC,2026-07-13,Bullish,51.52,1.94,5.42,4.38,80.73
TER,2026-07-17,Bearish,362.89,-2.54,5.36,3.52,65.7
AKAM,2026-07-01,Bearish,116.675,-7.34,4.07,4.24,103.97
FE,2026-07-06,Bullish,48.63,2.94,4.25,3.56,83.75
DRI,2026-07-30,Bullish,205.75,1.86,1.44,1.64,113.89
CAG,2026-07-22,Bullish,14.735,4.34,24.32,13.66,56.17
CF,2026-07-17,Bullish,121.08,5.94,2.76,3.07,111.15
APA,2026-08-03,Bullish,37.33,5.02,5.11,0.57,11.24
HAS,2026-07-30,Bullish,92.99,7.2,2.54,1.26,49.75
JKHY,2026-07-16,Bullish,155.9,9.37,1.7,0.93,54.69
TPR,2026-07-27,Bullish,154.37,8.23,2.33,2.0,85.94
NI,2026-07-16,Bearish,44.67,-4.88,5.12,5.15,100.55
TXT,2026-07-30,Bearish,85.515,-5.85,1.72,2.13,124.25
DOV,2026-07-15,Bearish,204.44,-5.7,1.16,1.0,85.8
LNT,2026-08-03,Bearish,70.95,-3.66,2.31,0.16,7.11
OMC,2026-07-07,Bullish,80.25,6.12,5.28,2.93,55.47
WY,2026-08-03,Bullish,24.98,3.54,4.83,0.42,8.65
Bullish_Tickers,,,,"GDDY,GGG,WPC,ELS,FND,REXR,OVV,FIVE,TTC,NLY,BJ,WTRG,BRBR,GPK,EHC,OHI,KBR,ORI,STAG,MAT,FNF,DAR,FNF,ADC,VNT,PR,MUR,GTLS,UGI,GT,WEN,SBRA,NDAQ,XYL,FANG,VTR,MKC,FE,DRI,CAG,CF,APA,HAS,JKHY,TPR,OMC,WY",,,
Bearish_Tickers,,,,"DECK,VST,RRX,CLF,LSCC,GNTX,ONTO,MKSI,NOV,WH,CMC,TKO,LPX,LEG,LITE,HGV,ETR,CARR,TER,AKAM,NI,TXT,DOV,LNT",,,
Delta_Bullish,,,,"GDDY,GGG,WPC,ELS,FND,REXR,OVV,FIVE,TTC,NLY,BJ,WTRG,BRBR,GPK,EHC,OHI,KBR,ORI,STAG,MAT,FNF,DAR,FNF,ADC,VNT,PR,MUR,GTLS,UGI,GT,WEN,SBRA,NDAQ,XYL,FANG,VTR,MKC,FE,DRI,CAG,CF,APA,HAS,JKHY,TPR,OMC,WY",,,
Delta_Bearish,,,,"DECK,VST,RRX,CLF,LSCC,GNTX,ONTO,MKSI,NOV,WH,CMC,TKO,LPX,LEG,LITE,HGV,ETR,CARR,TER,AKAM,NI,TXT,DOV,LNT",,,
