Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
DECK,2026-03-20,Bearish,100.43,-5.95,2.24,3.67,163.79
GGG,2026-03-20,Bearish,83.89,-5.05,1.07,1.98,185.93
IBKR,2026-03-11,Bearish,65.47,-7.66,4.51,3.18,70.45
SCI,2026-03-17,Bearish,75.43,-6.63,1.13,1.06,94.29
EWBC,2026-03-09,Bearish,103.53,-8.82,1.01,1.54,152.03
NLY,2026-03-11,Bearish,20.79,-9.06,7.44,4.7,63.15
TXRH,2026-03-10,Bearish,170.89,-4.74,1.15,0.78,67.97
THC,2026-02-12,Bullish,200.35001,0.42,1.19,2.46,207.71
CCK,2026-03-20,Bearish,98.44,-7.5,1.1,1.88,170.21
WTRG,2026-02-24,Bullish,39.93,3.08,2.19,3.34,152.7
FHN,2026-03-09,Bearish,21.85,-9.28,6.27,5.81,92.58
EHC,2026-03-11,Bearish,95.86,-9.75,1.15,1.13,98.55
WH,2026-03-13,Bearish,76.19,-2.25,1.62,1.14,70.24
OGE,2026-02-11,Bullish,46.14,5.44,1.64,1.64,100.08
EXEL,2026-03-05,Bearish,41.27,-4.2,3.24,3.44,106.2
RMBS,2026-03-03,Bearish,91.7,-9.49,2.78,2.85,102.51
PB,2026-03-09,Bearish,64.69,-8.85,1.27,1.81,142.18
TMHC,2026-03-12,Bearish,57.3,-9.22,1.17,1.21,103.06
VNT,2026-03-13,Bearish,35.2,-9.91,1.09,0.77,70.8
TKO,2026-03-19,Bearish,188.38,-8.19,1.24,1.32,106.02
SFM,2026-03-18,Bullish,81.8,6.18,3.24,3.92,120.7
VLY,2026-03-18,Bearish,11.73,-4.8,8.13,11.17,137.4
PENN,2026-03-20,Bearish,13.67,-3.08,5.25,5.49,104.55
PK,2026-03-12,Bearish,10.27,-7.39,4.45,3.03,68.22
PNM,2026-03-18,Bearish,58.07,-1.26,1.38,1.91,138.15
SBRA,2026-02-10,Bullish,19.59,3.73,2.76,2.98,108.16
NYCB,2026-03-12,Bearish,12.28,-5.59,5.47,4.03,73.69
CRI,2026-03-20,Bearish,34.23,-4.14,1.53,3.46,225.6
ASB,2026-03-09,Bearish,24.43,-9.21,2.47,2.65,107.34
TGNA,2026-02-11,Bullish,20.030001,3.04,1.76,2.26,128.46
LIVN,2026-03-20,Bearish,62.19,-2.53,1.05,1.2,114.66
AAPL,2026-03-06,Bearish,247.99001,-6.37,45.9,41.12,89.58
Bullish_Tickers,,,,"THC,WTRG,OGE,SFM,SBRA,TGNA",,,
Bearish_Tickers,,,,"DECK,GGG,IBKR,SCI,EWBC,NLY,TXRH,CCK,FHN,EHC,WH,EXEL,RMBS,PB,TMHC,VNT,TKO,VLY,PENN,PK,PNM,NYCB,CRI,ASB,LIVN,AAPL",,,
Delta_Bullish,,,,"THC,WTRG,OGE,SFM,SBRA,TGNA",,,
Delta_Bearish,,,,"DECK,GGG,IBKR,SCI,EWBC,NLY,TXRH,CCK,FHN,EHC,WH,EXEL,RMBS,PB,TMHC,VNT,TKO,VLY,PENN,PK,PNM,NYCB,CRI,ASB,LIVN,AAPL",,,
