Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
WPC,2026-08-10,Bearish,70.47,-3.73,1.35,1.28,94.42
NBIX,2026-08-18,Bearish,155.805,-4.54,1.47,1.04,70.63
PFGC,2026-08-28,Bearish,99.68,-6.43,1.74,1.11,63.53
NVT,2026-08-28,Bearish,148.28,-6.07,1.91,1.86,97.29
FBIN,2026-08-31,Bearish,43.51,-7.29,2.59,1.68,64.93
CUBE,2026-09-01,Bearish,39.825,-2.33,1.74,0.04,2.08
CG,2026-08-04,Bullish,46.88,2.31,3.04,6.1,200.62
ALLY,2026-08-19,Bearish,42.0,-4.83,2.85,2.73,95.85
CLF,2026-08-04,Bullish,11.71,7.04,27.14,21.74,80.11
KNX,2026-08-07,Bearish,67.27,-6.75,4.31,3.26,75.68
BJ,2026-07-27,Bullish,93.575,3.09,1.74,1.33,76.24
CELH,2026-08-25,Bullish,30.81,0.8,13.32,8.18,61.4
GNTX,2026-07-27,Bearish,22.28,-7.42,2.78,4.02,144.88
FHN,2026-08-27,Bearish,24.08,-4.34,4.76,3.87,81.2
OHI,2026-08-18,Bearish,46.76,-2.46,1.93,1.6,83.23
NNN,2026-08-26,Bearish,45.23,-2.73,1.32,0.9,68.4
KBR,2026-07-23,Bullish,37.02,4.99,1.78,1.72,96.77
BRX,2026-08-11,Bearish,29.3,-5.84,2.28,2.1,91.9
RRC,2026-08-11,Bullish,42.46,9.47,3.18,2.12,66.49
STAG,2026-08-10,Bearish,37.45,-3.39,1.89,1.42,75.47
NOV,2026-08-04,Bullish,21.355,9.09,3.57,2.83,79.15
JEF,2026-08-25,Bearish,52.15,-3.74,1.98,1.54,77.35
GXO,2026-08-05,Bearish,46.295,-9.92,1.64,5.52,336.25
MAT,2026-08-03,Bullish,14.73,1.61,4.94,4.05,81.93
FNF,2026-08-20,Bearish,46.41,-6.2,1.55,1.28,82.13
FNF,2026-08-20,Bearish,46.41,-6.2,1.55,1.28,82.13
OGE,2026-08-06,Bearish,45.82,-4.75,1.41,1.14,80.85
CMC,2026-08-24,Bearish,67.64,-2.6,1.15,1.49,130.14
CGNX,2026-08-24,Bearish,59.31,-6.07,2.47,1.72,69.49
HR,2026-08-14,Bearish,19.395,-4.16,3.85,2.69,69.72
ADC,2026-08-12,Bearish,72.56,-5.68,1.29,0.95,73.36
OPCH,2026-08-07,Bullish,23.605,4.34,2.72,3.9,143.57
