Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
GGG,2026-09-09,Bearish,76.165,-3.4,2.49,1.09,43.96
WSM,2026-09-18,Bearish,222.84,-2.03,1.22,0.01,0.42
RPM,2026-09-02,Bearish,98.31,-8.95,1.55,1.17,75.36
WPC,2026-08-10,Bearish,66.785,-8.77,1.35,1.28,94.42
NBIX,2026-08-18,Bearish,148.995,-8.71,1.47,1.04,70.63
ELS,2026-09-02,Bearish,61.01,-5.39,1.22,1.13,92.86
FHN,2026-08-27,Bearish,23.91,-5.01,4.76,3.87,81.2
ACHC,2026-09-04,Bearish,28.445,-2.31,1.54,0.84,54.23
OHI,2026-08-18,Bearish,46.64,-2.71,1.93,1.6,83.23
AGCO,2026-09-03,Bullish,120.14,7.06,1.11,1.71,154.31
ORI,2026-09-16,Bearish,40.06,-3.67,1.11,1.24,111.45
RRC,2026-08-11,Bullish,39.155,0.95,3.18,2.12,66.49
STAG,2026-08-10,Bearish,37.54,-3.16,1.89,1.42,75.47
MAT,2026-09-09,Bearish,13.33,-8.63,3.29,3.63,110.32
CMC,2026-08-24,Bearish,64.94,-6.49,1.15,1.49,130.14
CGNX,2026-08-24,Bearish,61.2,-3.08,2.47,1.72,69.49
MTDR,2026-08-20,Bullish,57.285,8.35,2.42,2.36,97.8
GMED,2026-09-08,Bearish,74.52,-8.61,1.13,1.89,167.12
FLS,2026-09-16,Bearish,74.15,-2.36,1.62,2.15,132.72
M,2026-08-31,Bearish,22.02,-5.36,4.91,4.74,96.43
COLB,2026-08-31,Bearish,29.61,-4.76,2.67,2.37,88.91
KRC,2026-08-28,Bearish,34.14,-8.12,1.03,0.72,70.66
VLY,2026-09-01,Bearish,13.505,-5.21,5.87,6.66,113.45
CUZ,2026-09-08,Bearish,28.14,-4.45,1.27,0.99,77.37
PGNY,2026-08-24,Bearish,27.15,-1.56,1.18,0.82,69.16
PNM,2026-09-15,Bullish,58.59,1.45,1.32,2.29,172.91
ASB,2026-09-18,Bearish,29.44,-3.17,1.76,0.03,1.62
DOC,2026-09-11,Bearish,20.445,-2.14,4.14,3.57,86.15
LMT,2026-09-09,Bearish,527.845,-4.9,1.06,1.55,146.67
T,2026-08-12,Bullish,25.485,8.98,72.5,32.52,44.86
AMT,2026-08-28,Bullish,175.42,0.82,2.1,1.6,75.92
CB,2026-09-10,Bearish,340.92,-0.33,1.7,1.22,71.41
PNC,2026-09-16,Bearish,230.72,-5.17,1.59,2.75,172.91
HCA,2026-08-19,Bullish,431.64,6.8,1.42,1.44,101.32
CL,2026-09-04,Bearish,87.25,-4.01,3.97,4.1,103.2
APD,2026-09-17,Bearish,281.67,-5.17,1.06,1.48,140.49
ITW,2026-09-10,Bearish,268.2,-2.93,1.06,1.65,155.75
NSC,2026-09-16,Bearish,315.59,-4.48,1.17,0.79,67.74
SHW,2026-09-10,Bearish,319.25,-5.47,1.53,1.77,115.91
CME,2026-08-14,Bullish,274.165,5.52,2.24,1.72,76.5
CSX,2026-09-18,Bearish,47.03,-4.28,8.92,0.52,5.88
WM,2026-08-20,Bearish,211.415,-7.0,2.01,1.72,85.41
SLB,2026-08-13,Bullish,51.26,1.57,12.84,8.48,66.0
FDX,2026-09-15,Bearish,303.18,-5.03,1.41,1.03,73.09
ORLY,2026-09-01,Bearish,84.465,-5.81,4.57,5.35,116.94
MNST,2026-09-04,Bearish,44.86,-3.09,10.08,12.45,123.51
KHC,2026-09-18,Bearish,24.56,-1.64,22.44,0.46,2.07
AFL,2026-08-26,Bearish,115.93,-3.69,2.01,1.68,83.97
D,2026-08-26,Bearish,63.6,-6.57,3.46,2.77,79.97
AIG,2026-08-20,Bearish,75.695,-2.26,2.96,2.69,90.85
JCI,2026-09-14,Bearish,141.09,-1.91,3.09,5.01,162.19
SPG,2026-09-02,Bearish,204.25,-6.49,1.2,0.92,76.41
PCAR,2026-09-11,Bearish,114.62,-8.82,2.34,2.07,88.42
ROST,2026-09-10,Bearish,228.85,-2.02,2.74,1.36,49.46
DLR,2026-09-14,Bearish,184.06,-2.16,1.95,2.04,104.91
WMB,2026-09-16,Bearish,72.74,-0.58,7.83,9.24,117.99
TT,2026-08-21,Bearish,423.82,-9.66,1.16,0.83,70.91
ACGL,2026-09-10,Bearish,96.93,-1.47,2.56,3.46,135.02
MTB,2026-09-16,Bearish,225.89,-5.48,1.07,1.86,173.64
