Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
VST,2025-10-31,Bearish,189.39,-4.02,4.59,4.23,92.14
XPO,2025-10-30,Bullish,138.34,6.84,1.4,2.88,205.81
ELS,2025-11-05,Bearish,60.68,-1.01,2.42,1.16,47.94
OVV,2025-10-10,Bearish,36.64,-9.45,2.99,3.49,116.5
CUBE,2025-10-31,Bearish,37.73,-7.3,1.78,4.49,252.01
ALLY,2025-10-21,Bullish,39.95,0.11,4.29,3.0,69.86
KNX,2025-10-16,Bullish,44.58,4.32,4.23,5.97,141.11
ELF,2025-11-04,Bearish,117.83,-7.73,1.42,1.51,106.97
WTRG,2025-09-30,Bullish,39.68,3.65,1.98,1.75,88.47
UNM,2025-11-04,Bullish,76.77,1.66,1.36,3.88,286.08
DBX,2025-10-30,Bearish,29.13,-0.37,2.68,3.4,127.01
WBS,2025-10-16,Bearish,57.24,-2.84,1.47,4.15,283.0
FHN,2025-10-17,Bearish,21.51,-2.82,16.77,25.19,150.18
ARMK,2025-10-29,Bearish,37.68,-4.04,2.24,2.28,101.8
RGLD,2025-11-04,Bearish,173.32001,-5.99,1.46,1.21,82.74
OHI,2025-11-03,Bullish,43.02,5.5,1.72,2.38,138.69
NNN,2025-10-24,Bearish,39.83,-5.92,1.0,1.38,137.88
NYT,2025-11-05,Bullish,57.61,1.43,1.62,4.9,301.69
BRX,2025-11-03,Bearish,26.21,-3.18,2.48,2.38,95.94
RRC,2025-09-30,Bullish,37.07,3.44,3.3,2.98,90.14
FLR,2025-10-15,Bullish,47.41,6.96,4.05,8.11,200.27
STAG,2025-10-07,Bullish,38.65,8.29,1.74,1.18,67.51
MAT,2025-10-23,Bullish,19.059999,5.85,4.49,6.5,144.62
FNF,2025-10-10,Bearish,55.16,-5.65,1.17,0.94,80.37
FNF,2025-10-10,Bearish,55.16,-5.65,1.17,0.94,80.37
GMED,2025-10-20,Bullish,61.51,4.86,1.33,1.37,102.86
H,2025-11-05,Bearish,138.0,-3.47,1.03,1.55,150.32
STWD,2025-10-01,Bearish,18.47,-7.87,2.94,3.77,128.13
VNT,2025-11-03,Bearish,38.13,-7.2,1.22,1.94,159.0
MTG,2025-11-05,Bullish,28.07,2.35,1.81,1.32,72.77
ST,2025-10-15,Bullish,31.7,2.37,1.46,1.26,86.16
HOG,2025-10-29,Bearish,25.43,-7.11,1.35,1.21,89.48
HOMB,2025-10-01,Bearish,27.1,-6.3,1.11,0.74,66.93
TEX,2025-11-05,Bearish,46.95,-9.1,1.35,1.12,83.19
GPS,2025-10-27,Bullish,23.43,6.81,8.02,7.02,87.51
VNO,2025-10-29,Bearish,35.55,-9.98,1.11,1.85,166.76
AM,2025-10-27,Bearish,17.24,-6.05,1.87,2.45,130.92
YETI,2025-11-04,Bearish,33.39,-2.72,1.56,2.28,146.28
COLB,2025-10-28,Bullish,26.52,3.41,5.6,9.0,160.93
GME,2025-10-17,Bearish,22.01,-9.96,8.34,6.21,74.38
NVST,2025-10-13,Bearish,20.15,-1.03,2.11,1.72,81.62
WU,2025-10-28,Bullish,8.87,5.83,13.46,27.85,206.85
CUZ,2025-10-09,Bearish,25.88,-9.14,1.38,1.46,105.48
BHF,2025-11-04,Bullish,51.8,4.82,1.25,1.74,138.94
DOCS,2025-11-05,Bearish,63.99,-5.15,1.21,1.3,107.44
QDEL,2025-11-05,Bearish,27.37,-2.76,1.17,1.85,158.76
LEG,2025-11-04,Bearish,8.81,-4.41,1.67,1.7,101.67
SBRA,2025-10-06,Bearish,18.2,-2.23,2.38,4.25,178.46
NYCB,2025-10-10,Bearish,11.29,-5.51,5.25,5.07,96.61
CRI,2025-10-14,Bullish,32.0099983,9.02,1.21,1.15,94.78
ASB,2025-10-21,Bearish,25.4,-0.62,1.61,1.48,92.03
NSA,2025-10-29,Bearish,30.7,-1.78,1.2,2.0,167.29
DOC,2025-11-04,Bearish,17.87,-2.0,10.96,7.38,67.38
VZ,2025-10-06,Bearish,39.69,-8.63,20.73,75.94,366.39
COP,2025-10-10,Bearish,87.7,-6.62,6.73,7.89,117.23
UNP,2025-10-27,Bearish,217.38,-3.58,3.31,4.69,141.73
LOW,2025-10-13,Bearish,234.35001,-5.55,2.72,3.07,112.87
UPS,2025-10-29,Bullish,92.91,5.62,8.12,10.79,132.91
MDT,2025-11-04,Bearish,90.4,-3.26,5.91,4.73,80.01
GILD,2025-10-07,Bullish,122.58,8.28,7.9,8.71,110.34
ADI,2025-10-30,Bearish,236.0,-1.62,3.31,2.94,88.93
CB,2025-10-24,Bullish,283.26001,1.87,1.87,1.43,76.38
BDX,2025-10-29,Bearish,176.39,-5.86,1.55,1.61,103.77
PNC,2025-10-13,Bearish,184.14999,-6.18,1.56,1.82,116.48
USB,2025-10-30,Bearish,46.74,-1.25,9.9,7.19,72.65
VRTX,2025-10-22,Bullish,417.0,1.87,1.5,1.7,113.38
FCX,2025-09-26,Bearish,40.21,-5.96,22.16,41.52,187.33
CSX,2025-09-29,Bullish,35.32,5.2,15.47,34.27,221.47
EMR,2025-10-30,Bullish,132.45,-0.03,2.24,3.16,141.1
SLB,2025-10-29,Bullish,36.55,5.6,18.02,16.66,92.48
MAR,2025-11-04,Bullish,283.070007,6.49,1.49,2.85,191.03
FITB,2025-10-16,Bearish,42.51,-2.53,9.06,16.35,180.39
Bullish_Tickers,,,,"XPO,ALLY,KNX,WTRG,UNM,OHI,NYT,RRC,FLR,STAG,MAT,GMED,MTG,ST,GPS,COLB,WU,BHF,CRI,UPS,GILD,CB,VRTX,CSX,EMR,SLB,MAR",,,
Bearish_Tickers,,,,"VST,ELS,OVV,CUBE,ELF,DBX,WBS,FHN,ARMK,RGLD,NNN,BRX,FNF,FNF,H,STWD,VNT,HOG,HOMB,TEX,VNO,AM,YETI,GME,NVST,CUZ,DOCS,QDEL,LEG,SBRA,NYCB,ASB,NSA,DOC,VZ,COP,UNP,LOW,MDT,ADI,BDX,PNC,USB,FCX,FITB",,,
Delta_Bullish,,,,"ALLY,NYT,GMED,MTG,ST,GPS,COLB,WU,BHF,CRI,UPS,GILD,CB,VRTX,CSX,EMR,SLB,MAR",,,
Delta_Bearish,,,,"ELS,H,STWD,VNT,HOG,HOMB,TEX,VNO,AM,YETI,GME,NVST,CUZ,DOCS,QDEL,LEG,SBRA,NYCB,ASB,NSA,DOC,VZ,COP,UNP,LOW,MDT,ADI,BDX,PNC,USB,FCX,FITB",,,
