Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
GGG,2026-07-31,Bullish,77.255,0.06,1.48,1.84,124.57
VST,2026-07-30,Bearish,144.23,-7.76,4.06,4.6,113.38
RPM,2026-09-02,Bearish,102.345,-5.22,1.55,1.17,75.36
WPC,2026-08-10,Bearish,70.86,-3.2,1.35,1.28,94.42
NBIX,2026-08-18,Bearish,157.61,-3.44,1.47,1.04,70.63
ELS,2026-09-02,Bearish,62.51,-3.07,1.22,1.13,92.86
PFGC,2026-08-28,Bearish,99.15,-6.93,1.74,1.11,63.53
NVT,2026-08-28,Bearish,153.37,-2.85,1.91,1.86,97.29
FBIN,2026-08-31,Bearish,42.4,-9.65,2.59,1.68,64.93
CUBE,2026-09-01,Bearish,39.59,-2.89,1.85,2.31,124.6
CG,2026-08-04,Bullish,47.125,2.84,3.04,6.1,200.62
ALLY,2026-08-19,Bearish,43.335,-1.8,2.85,2.73,95.85
KNX,2026-08-07,Bearish,69.07,-4.26,4.31,3.26,75.68
BJ,2026-07-27,Bullish,92.425,1.82,1.74,1.33,76.24
CELH,2026-08-25,Bullish,31.37,2.63,13.32,8.18,61.4
CHDN,2026-08-18,Bullish,89.78,2.73,1.13,1.18,104.29
GNTX,2026-07-27,Bearish,22.755,-5.45,2.78,4.02,144.88
FHN,2026-08-27,Bearish,24.76,-1.64,4.76,3.87,81.2
OHI,2026-08-18,Bearish,47.225,-1.49,1.93,1.6,83.23
NNN,2026-08-26,Bearish,45.29,-2.6,1.32,0.9,68.4
BRX,2026-08-11,Bearish,29.385,-5.57,2.28,2.1,91.9
STAG,2026-08-10,Bearish,37.62,-2.95,1.89,1.42,75.47
NOV,2026-08-04,Bullish,21.525,9.96,3.57,2.83,79.15
JEF,2026-08-25,Bearish,53.31,-1.6,1.98,1.54,77.35
GXO,2026-08-05,Bearish,46.66,-9.21,1.64,5.52,336.25
MAT,2026-08-03,Bullish,14.575,0.54,4.94,4.05,81.93
FNF,2026-08-20,Bearish,47.36,-4.28,1.55,1.28,82.13
FNF,2026-08-20,Bearish,47.31,-4.38,1.55,1.28,82.13
OGE,2026-08-06,Bearish,47.03,-2.24,1.41,1.14,80.85
CMC,2026-08-24,Bearish,68.76,-0.99,1.15,1.49,130.14
CGNX,2026-08-24,Bearish,60.5,-4.19,2.47,1.72,69.49
HR,2026-08-14,Bearish,19.255,-4.85,3.85,2.69,69.72
ADC,2026-08-12,Bearish,72.86,-5.29,1.29,0.95,73.36
OPCH,2026-08-07,Bullish,24.3,7.42,2.72,3.9,143.57
VNT,2026-08-03,Bullish,32.985,6.9,1.38,1.08,78.43
MUR,2026-09-03,Bullish,37.545,3.26,1.56,0.01,0.85
FLS,2026-08-06,Bullish,78.28,5.89,2.0,1.61,80.23
M,2026-08-31,Bearish,22.225,-4.47,4.91,4.74,96.43
TKR,2026-08-21,Bearish,120.76,-8.1,1.05,0.61,58.39
TKO,2026-08-26,Bearish,187.335,-2.42,1.2,0.74,61.41
ST,2026-08-19,Bearish,42.08,-8.13,1.75,2.95,167.96
UGI,2026-08-18,Bullish,38.245,7.09,2.07,13.24,640.31
KD,2026-07-30,Bullish,13.36,7.94,3.96,4.43,111.74
KRG,2026-08-11,Bearish,26.185,-6.25,3.05,1.82,59.67
FNB,2026-09-02,Bearish,18.445,-0.96,3.2,4.07,127.11
BYD,2026-08-10,Bearish,78.11,-9.25,1.04,0.91,87.76
RYN,2026-08-26,Bearish,20.495,-4.13,3.03,1.93,63.63
LPX,2026-08-12,Bearish,68.21,-8.88,1.2,0.82,68.09
GPS,2026-09-01,Bullish,22.059999,5.68,8.21,7.29,88.82
GBCI,2026-08-19,Bearish,46.455,-6.41,1.1,0.94,85.46
VAL,2026-08-20,Bullish,91.01,9.89,1.19,1.39,117.47
AM,2026-08-14,Bullish,22.56,2.36,2.27,1.33,58.8
POR,2026-08-05,Bearish,49.23,-3.65,1.08,1.16,107.38
COLB,2026-08-31,Bearish,30.35,-2.38,2.67,2.37,88.91
GT,2026-08-13,Bearish,6.18,-7.36,9.13,14.78,161.83
KRC,2026-08-28,Bearish,36.71,-1.2,1.03,0.72,70.66
SLGN,2026-08-17,Bearish,41.505,-2.68,1.6,0.77,48.15
VLY,2026-09-01,Bearish,13.89,-2.51,5.87,6.66,113.45
PGNY,2026-08-24,Bearish,26.68,-3.27,1.18,0.82,69.16
IRT,2026-08-31,Bearish,16.28,-2.04,2.69,2.88,107.34
CNX,2026-08-11,Bullish,37.92,9.28,1.68,1.35,80.56
LITE,2026-08-13,Bullish,855.805,5.62,5.21,4.65,89.16
NYCB,2026-08-07,Bearish,13.49,-6.16,4.55,3.19,70.13
WERN,2026-08-06,Bearish,38.13,-5.74,1.44,0.68,47.6
SMG,2026-08-14,Bearish,58.93,-9.24,1.01,0.48,47.62
MP,2026-08-24,Bullish,53.585,0.44,7.53,7.1,94.24
PPC,2026-08-25,Bullish,30.41,3.63,1.76,1.72,97.42
AMZN,2026-08-03,Bullish,258.54,5.06,48.09,90.83,188.87
AVGO,2026-08-21,Bearish,355.71,-9.17,19.93,19.04,95.5
HD,2026-09-01,Bearish,318.4,-5.24,3.65,3.29,90.05
CSCO,2026-09-01,Bearish,109.045,-3.45,20.07,14.17,70.58
CMCSA,2026-08-13,Bullish,26.6,8.21,32.11,18.08,56.31
LIN,2026-07-31,Bearish,483.34,-5.46,2.08,5.22,250.9
NFLX,2026-08-28,Bullish,82.37,5.78,29.11,29.09,99.94
AMD,2026-09-01,Bearish,457.18,-4.61,20.23,16.21,80.16
DIS,2026-08-11,Bullish,107.66,8.02,11.87,6.78,57.11
INTU,2026-08-13,Bullish,348.74,9.8,3.68,4.61,125.33
HON,2026-08-24,Bearish,207.74,-9.78,3.07,2.69,87.51
BA,2026-08-25,Bearish,208.47,-5.97,5.79,4.85,83.79
UPS,2026-08-11,Bearish,102.74,-4.79,5.79,4.37,75.48
GE,2026-09-03,Bearish,331.89,-4.68,3.37,0.08,2.38
PLD,2026-08-11,Bearish,137.805,-3.4,5.74,3.36,58.52
AXP,2026-09-01,Bearish,330.095,-1.88,2.29,2.56,111.93
SYK,2026-09-03,Bearish,308.945,-5.49,2.08,0.1,4.69
AMT,2026-08-28,Bullish,177.635,2.1,2.1,1.6,75.92
CVS,2026-08-19,Bearish,97.79,-1.0,8.11,6.35,78.3
MO,2026-08-06,Bearish,69.87,-1.35,8.76,10.53,120.16
HCA,2026-08-19,Bullish,411.42,1.79,1.42,1.44,101.32
SO,2026-08-07,Bearish,89.205,-5.69,5.26,7.71,146.42
CME,2026-08-14,Bullish,282.095,8.58,2.24,1.72,76.5
DUK,2026-08-07,Bearish,121.67,-3.42,4.05,4.31,106.35
WM,2026-08-20,Bearish,220.62,-2.96,2.01,1.72,85.41
FIS,2026-08-18,Bearish,41.98,-1.45,6.56,4.96,75.53
FDX,2026-08-10,Bullish,321.68,2.27,1.49,1.67,112.39
MAR,2026-08-04,Bearish,337.495,-8.77,1.61,3.38,209.25
AEP,2026-08-03,Bearish,124.99,-5.25,3.95,4.88,123.6
ORLY,2026-09-01,Bearish,87.76,-2.14,4.57,5.35,116.94
AFL,2026-08-26,Bearish,118.88,-1.24,2.01,1.68,83.97
D,2026-08-26,Bearish,66.67,-2.06,3.46,2.77,79.97
AIG,2026-08-20,Bearish,77.31,-0.17,2.96,2.69,90.85
KMI,2026-07-30,Bearish,32.07,-0.33,9.5,12.7,133.67
JCI,2026-09-02,Bearish,141.71,-1.64,2.86,2.5,87.46
SRE,2026-07-28,Bearish,84.59,-8.5,2.89,2.22,76.81
SPG,2026-09-02,Bearish,211.27,-3.28,1.2,0.92,76.41
DLR,2026-07-31,Bullish,185.74,0.35,3.19,2.17,68.05
WMB,2026-09-01,Bullish,75.34,2.95,6.7,7.32,109.27
CTVA,2026-09-01,Bullish,89.115,9.01,4.49,5.57,124.12
XEL,2026-07-31,Bearish,76.51,-3.96,4.99,7.0,140.45
WEC,2026-07-29,Bearish,106.92,-6.31,1.87,3.1,165.89
TT,2026-08-21,Bearish,445.03,-5.14,1.16,0.83,70.91
EXC,2026-08-05,Bearish,44.465,-4.12,8.98,7.05,78.5
PPG,2026-08-20,Bearish,111.28,-3.3,1.86,1.57,84.66
KEYS,2026-08-25,Bearish,322.795,-2.13,1.4,1.61,114.83
F,2026-09-03,Bullish,14.435,2.48,38.23,1.05,2.76
WBD,2026-08-14,Bullish,28.33,6.17,23.93,12.5,52.22
ED,2026-08-11,Bearish,108.52,-0.91,2.3,1.86,81.13
BKR,2026-08-10,Bullish,63.99,6.91,9.05,5.27,58.28
CHTR,2026-08-21,Bullish,150.63,2.22,2.93,2.03,69.15
HBAN,2026-08-28,Bearish,17.08,-1.24,21.84,21.52,98.54
IR,2026-09-01,Bearish,75.17,-6.92,3.54,3.06,86.55
CPRT,2026-08-20,Bullish,33.41,9.82,12.24,10.8,88.22
EBAY,2026-08-14,Bearish,106.135,-2.84,4.32,2.76,63.85
TTWO,2026-09-01,Bearish,218.13,-7.38,2.76,2.8,101.38
DTE,2026-07-31,Bearish,136.9,-6.85,1.27,1.6,125.23
ETR,2026-08-03,Bearish,108.45,-3.18,2.8,3.02,107.67
MAA,2026-08-17,Bearish,128.46,-3.87,1.05,0.78,74.66
XYL,2026-08-24,Bearish,108.185,-8.19,1.77,1.6,90.46
LYB,2026-08-19,Bullish,65.055,4.76,4.65,3.89,83.63
TER,2026-09-01,Bearish,338.68,-8.96,2.52,2.59,102.65
LDOS,2026-08-11,Bullish,133.96,9.97,1.66,1.89,114.06
CEG,2026-08-14,Bullish,284.29,5.71,2.8,2.02,72.28
WRB,2026-08-26,Bearish,69.615,-1.0,1.61,1.26,78.53
FE,2026-08-14,Bearish,46.93,-1.88,4.57,2.59,56.68
DRI,2026-07-30,Bullish,219.92,8.87,1.44,1.64,113.89
TTWO,2026-09-01,Bearish,217.665,-7.58,2.76,2.8,101.38
HAS,2026-07-30,Bullish,92.695,6.86,2.54,1.26,49.75
AEE,2026-08-06,Bearish,106.82,-3.58,1.54,1.91,124.09
AOS,2026-09-02,Bearish,60.77,-0.79,1.25,1.06,84.39
HWM,2026-09-01,Bearish,258.6,-4.86,2.67,5.54,207.54
