Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
GGG,2026-03-20,Bearish,82.94,-6.13,1.07,1.98,185.93
WPC,2026-03-27,Bearish,67.91,-2.93,1.12,1.08,97.11
CUBE,2026-03-25,Bearish,35.9,-6.59,2.64,1.93,73.02
ITT,2026-03-30,Bearish,181.029999,-4.43,1.02,1.66,161.82
EWBC,2026-03-09,Bearish,103.81,-8.57,1.01,1.54,152.03
KNX,2026-03-23,Bearish,55.46,-0.9,3.16,3.28,103.72
NLY,2026-03-11,Bearish,21.26,-7.0,7.44,4.7,63.15
TXRH,2026-03-10,Bearish,162.32001,-9.51,1.15,0.78,67.97
CCK,2026-03-20,Bearish,98.22,-7.7,1.1,1.88,170.21
WTRG,2026-02-24,Bullish,41.049999,5.97,2.19,3.34,152.7
FHN,2026-03-09,Bearish,22.049999,-8.45,6.27,5.81,92.58
RGLD,2026-03-23,Bearish,238.75999,-7.69,1.26,1.51,120.21
EHC,2026-03-11,Bearish,97.52,-8.19,1.15,1.13,98.55
FR,2026-03-30,Bearish,57.26,-3.31,1.05,0.55,52.68
FLR,2026-03-30,Bearish,43.78,-5.54,2.68,2.79,104.37
STAG,2026-03-23,Bearish,36.09,-5.39,1.26,1.58,125.4
WH,2026-03-26,Bullish,80.15,2.71,1.25,1.39,110.98
CROX,2026-03-12,Bearish,80.0,-8.25,1.61,1.13,70.07
EXEL,2026-03-05,Bearish,41.95,-2.63,3.24,3.44,106.2
FAF,2026-03-20,Bearish,59.58,-8.05,1.09,3.01,275.37
GMED,2026-03-23,Bearish,83.51,-5.2,1.12,0.78,69.18
CBSH,2026-02-27,Bearish,48.22,-9.47,1.42,2.07,145.2
HXL,2026-03-27,Bearish,77.059998,-7.12,1.31,0.83,63.73
HR,2026-03-30,Bearish,16.81,-4.79,3.26,2.52,77.44
PB,2026-03-09,Bearish,65.65,-7.5,1.27,1.81,142.18
TMHC,2026-03-12,Bearish,57.21,-9.37,1.17,1.21,103.06
VVV,2026-03-30,Bearish,33.14,-4.12,1.75,1.72,98.76
ST,2026-03-30,Bearish,33.39,-4.33,1.8,1.23,68.25
UGI,2026-03-06,Bearish,36.69,-2.53,1.72,1.04,60.31
FNB,2026-03-09,Bearish,16.17,-7.17,7.62,5.1,66.97
ONB,2026-03-11,Bearish,21.48,-8.57,3.23,3.03,93.78
BYD,2026-03-03,Bearish,80.17,-4.73,1.09,2.04,186.29
RYN,2026-02-23,Bearish,20.6,-9.67,4.22,2.87,67.98
OZK,2026-03-06,Bearish,44.77,-6.6,1.11,1.74,157.34
HOMB,2026-03-04,Bearish,26.47,-7.74,1.34,1.55,115.05
TEX,2026-03-30,Bearish,54.87,-9.2,1.51,1.11,73.45
GBCI,2026-03-06,Bearish,43.75,-8.09,1.02,1.01,99.17
COLB,2026-03-10,Bearish,26.79,-8.17,3.05,2.53,83.1
GME,2026-03-30,Bearish,22.27,-4.17,5.61,6.62,117.99
ARWR,2026-03-13,Bearish,57.65,-6.3,2.37,4.48,188.75
WU,2026-03-23,Bearish,8.83,-6.43,9.01,9.26,102.78
MAN,2026-02-20,Bearish,29.73,-4.93,1.65,1.29,78.04
VLY,2026-03-18,Bearish,12.05,-2.2,8.13,11.17,137.4
