Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%)
GT,2025-08-04,Bearish,8.58,-19.849402699557757
KNF,2025-08-13,Bullish,94.57,10.23208703321184
AZTA,2025-08-08,Bearish,32.080002,2.3969642459423364
ENS,2025-07-23,Bullish,100.41,13.462678320513849
SLGN,2025-07-31,Bearish,47.57,-11.891704396870823
PCH,2025-07-16,Bullish,44.24,11.037220122646408
BKH,2025-08-07,Bullish,61.48,6.475706929574376
CUZ,2025-07-23,Bearish,28.22,-2.445053909146607
BLKB,2025-08-13,Bearish,63.18,-1.559771723817063
OGS,2025-08-12,Bullish,76.49,3.6813379455767956
ALE,2025-07-15,Bullish,65.84,1.2553893456681773
EPR,2025-08-11,Bearish,53.42,-4.579638165987832
CNX,2025-07-30,Bearish,29.059999,-10.15165099225909
PK,2025-08-07,Bearish,11.18,4.585622105375782
LEG,2025-08-08,Bearish,9.46,1.3228818109896396
SR,2025-07-16,Bullish,77.59,4.456944521265809
ZD,2025-08-13,Bullish,36.58,10.938460170921543
CHH,2025-08-06,Bearish,124.14,-4.137082470802704
NYCB,2025-08-12,Bullish,11.98,4.418829109830077
NWE,2025-08-08,Bullish,56.0,4.702032034707785
DOC,2025-07-30,Bearish,17.14,-4.733514499253875
TGNA,2025-08-12,Bullish,20.82,22.445430224538978
VSH,2025-08-12,Bearish,15.46,-2.213997739395452
LIVN,2025-08-06,Bullish,53.060001,21.178217100444925
WERN,2025-08-01,Bearish,28.67,1.9257835131883343
GHC,2025-08-08,Bullish,1061.69995,13.326498959268317
GO,2025-08-06,Bullish,18.39,32.57663108667547
SMG,2025-08-11,Bearish,63.74,0.135397322709038
SHC,2025-08-11,Bullish,15.72,32.27025798304274
UAA,2025-08-08,Bearish,5.06,-24.792657556089466
UA,2025-08-08,Bearish,4.9,-22.906148447479783
HTZ,2025-08-07,Bearish,5.38,-19.00625978343212
PPC,2025-08-06,Bullish,49.63,5.063766407755276
Bullish_Tickers,,,,"SAIA,OC,RPM,FBIN,SCI,WTRG,EXP,AFG,JAZZ,PVH,EHC,OHI,NYT,FCN,BRX,FNF,FNF,WH,OGE,FAF,ESNT,VVV,CIVI,MTG,TKO,DTM,THG,ASH,UBSI,HALO,KBH,RYN,GATX,LPX,HOG,CBT,SYNA,CVLT,AM,MDU,NJR,POR,RH,LOPE,KNF,ENS,PCH,BKH,OGS,ALE,SR,ZD,NYCB,NWE,TGNA,LIVN,GHC,GO,SHC,PPC"
Bearish_Tickers,,,,"RS,CSL,GGG,WSO,DT,GLPI,CUBE,KNX,TXRH,KNSL,ATR,UNM,MTN,LAD,OLED,MIDD,LNW,NNN,UFPI,MORN,INGR,FR,RRC,FLR,STAG,NOV,HQY,EQH,MAT,BRKR,DAR,CFR,CROX,EXEL,QLYS,PNFP,MASI,CBSH,SIGI,NOVT,G,PB,STWD,PR,SNV,SFM,ESAB,KEX,KD,DLB,KRG,ONB,WLK,POWI,EEFT,HOMB,SLAB,PRGO,IRDM,VNO,FFIN,EQH,CNXC,HAE,GT,AZTA,SLGN,CUZ,BLKB,EPR,CNX,PK,LEG,CHH,DOC,VSH,WERN,SMG,UAA,UA,HTZ"
