Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
SMCI,2025-08-25,Bearish,43.97,-6.6,38.31,18.78,49.03
DECK,2025-08-28,Bullish,118.14,9.08,2.5,2.35,94.1
DT,2025-08-06,Bearish,50.89,-3.73,2.65,8.17,307.94
GLPI,2025-08-27,Bullish,47.98,2.1,1.7,2.27,133.82
FBIN,2025-07-24,Bullish,58.94,9.87,2.19,2.07,94.3
SCI,2025-08-12,Bullish,78.93,0.1,1.21,0.72,59.7
KNX,2025-07-31,Bearish,43.93,-1.71,3.07,4.44,144.37
CCK,2025-08-27,Bearish,100.13,-0.8,1.05,0.99,94.58
WTRG,2025-08-12,Bullish,39.66,4.6,1.95,1.83,93.76
DBX,2025-08-25,Bullish,28.925,4.07,3.56,2.06,58.03
ONTO,2025-08-21,Bullish,109.3,5.73,1.53,0.62,40.58
MIDD,2025-08-06,Bearish,136.84,-4.99,1.0,4.89,488.19
ARMK,2025-08-20,Bearish,39.25,-3.55,2.54,4.82,189.49
NNN,2025-08-11,Bearish,42.18,-0.31,1.34,0.73,54.37
KBR,2025-08-25,Bullish,51.28,3.87,1.56,1.08,69.49
ORI,2025-08-14,Bullish,39.74,6.84,1.47,1.01,68.59
BRX,2025-07-22,Bullish,28.040001,9.1,2.35,2.11,89.91
AXTA,2025-08-26,Bullish,30.96,2.3,3.12,1.81,58.1
STAG,2025-08-25,Bullish,36.76,3.75,1.39,0.8,57.42
EQH,2025-08-22,Bullish,53.24,1.03,3.09,2.79,90.26
MAT,2025-07-29,Bearish,18.46,-2.81,4.68,4.72,100.79
FNF,2025-08-08,Bullish,59.62,5.26,1.96,1.09,55.59
DAR,2025-08-01,Bearish,34.33,-1.76,2.26,2.3,101.46
FNF,2025-08-08,Bullish,59.62,5.26,1.96,1.09,55.59
OGE,2025-07-21,Bullish,44.63,0.81,1.24,1.25,100.39
EXEL,2025-08-01,Bearish,37.9,-9.76,3.69,5.81,157.4
OLN,2025-08-25,Bullish,22.86,9.21,2.84,1.98,69.61
GMED,2025-08-26,Bullish,61.13,3.28,1.44,0.89,61.66
STWD,2025-08-25,Bullish,20.11,0.83,2.85,2.1,73.68
PR,2025-08-27,Bullish,14.45,6.07,10.38,8.7,83.81
VVV,2025-08-06,Bullish,39.060001,7.25,1.96,3.07,156.92
MTG,2025-08-06,Bullish,27.68,5.8,2.44,1.92,78.58
UGI,2025-08-21,Bearish,34.61,-2.34,1.87,2.8,150.06
WLK,2025-08-20,Bullish,86.41,5.37,1.46,1.12,77.02
SLM,2025-08-18,Bearish,31.31,-2.28,2.31,2.69,116.44
VNO,2025-08-06,Bearish,37.57,-2.58,1.63,2.18,133.44
AM,2025-08-21,Bearish,17.84,-0.35,3.01,2.63,87.47
MDU,2025-08-15,Bearish,16.42,-2.48,1.56,2.01,128.56
POR,2025-08-08,Bullish,42.64,3.0,1.43,0.87,60.48
EQH,2025-08-22,Bullish,53.24,1.03,3.09,2.79,90.26
CNX,2025-07-30,Bearish,29.25,-9.56,2.48,2.73,110.23
PK,2025-08-14,Bullish,11.76,9.96,4.06,3.77,92.85
LEG,2025-08-26,Bullish,9.73,3.84,1.92,2.33,121.37
IART,2025-08-22,Bullish,14.84,9.97,1.5,1.44,96.14
DOC,2025-07-30,Bearish,17.86,-0.73,7.21,10.67,147.91
VSH,2025-08-12,Bearish,15.69,-0.76,2.11,2.39,113.57
WERN,2025-08-22,Bullish,28.73,2.57,1.01,0.9,89.38
PPC,2025-08-26,Bearish,43.63,-7.87,1.36,1.05,77.2
ABT,2025-08-25,Bullish,131.37,0.42,5.52,4.71,85.28
DHR,2025-07-28,Bullish,205.28999,3.63,4.21,5.16,122.57
TXN,2025-08-22,Bullish,204.089996,4.47,6.43,6.18,96.12
PM,2025-07-28,Bearish,165.77,-4.41,6.11,8.68,141.96
VZ,2025-08-13,Bullish,43.93,2.61,18.83,14.33,76.09
INTU,2025-08-20,Bearish,668.20001,-9.56,1.73,2.1,121.39
AMGN,2025-08-28,Bearish,285.60999,-2.2,2.09,1.89,90.08
UNP,2025-07-31,Bearish,222.35001,-2.28,5.04,5.55,110.09
IBM,2025-08-04,Bearish,245.73,-8.99,5.56,5.28,95.02
HON,2025-08-08,Bearish,221.35001,-1.64,3.83,3.06,79.93
QCOM,2025-08-18,Bullish,160.8,4.43,8.61,4.77,55.46
AMAT,2025-08-20,Bearish,165.27,-7.35,8.09,9.32,115.21
PLD,2025-08-22,Bullish,112.64,4.68,3.27,3.55,108.66
NOW,2025-08-01,Bearish,928.59998,-4.64,1.62,1.81,111.59
SYK,2025-08-22,Bullish,389.67001,1.05,1.35,0.9,66.6
TJX,2025-08-04,Bullish,137.12,9.38,4.7,4.81,102.38
DE,2025-08-18,Bearish,491.44,-2.53,1.41,1.39,98.47
AMT,2025-08-06,Bearish,202.56,-6.94,2.09,1.63,78.26
BDX,2025-08-11,Bullish,191.25,5.53,3.16,2.77,87.63
SHW,2025-08-12,Bullish,366.17999,5.69,2.11,2.57,121.77
CME,2025-08-26,Bearish,266.76999,-3.0,1.94,3.3,169.79
EOG,2025-08-22,Bullish,124.34,4.8,2.82,2.25,79.66
TGT,2025-08-26,Bearish,96.81,-4.77,7.93,6.4,80.65
WM,2025-08-18,Bearish,224.58,-2.29,1.84,3.44,187.17
AON,2025-08-11,Bullish,366.54001,1.73,1.44,1.27,88.55
MAR,2025-08-22,Bullish,270.25,1.45,1.48,1.61,108.18
TRV,2025-08-11,Bullish,270.63,3.13,1.32,0.94,71.13
MNST,2025-08-11,Bullish,61.815,1.63,6.63,8.59,129.66
ALL,2025-08-06,Bullish,203.5,2.55,1.72,1.42,82.73
AFL,2025-08-19,Bullish,106.73,3.34,2.48,2.28,91.58
KMI,2025-08-06,Bearish,26.94,-2.91,17.76,38.85,218.75
CTAS,2025-08-25,Bearish,208.08,-5.01,1.52,3.86,254.32
DLR,2025-08-18,Bearish,169.03,-1.15,1.48,1.63,110.12
WMB,2025-08-06,Bearish,57.785,-2.03,7.02,7.83,111.53
PRU,2025-08-20,Bullish,109.195,4.08,1.78,1.54,86.5
A,2025-08-13,Bullish,125.93,8.05,1.47,0.98,66.94
XEL,2025-07-21,Bullish,72.64,5.49,2.89,2.64,91.27
WEC,2025-07-21,Bullish,106.6,1.01,1.87,1.65,88.0
KR,2025-08-29,Bearish,67.43,-3.88,6.32,0.01,0.12
ACGL,2025-08-22,Bullish,91.59,1.43,2.23,1.82,81.57
ODFL,2025-07-30,Bearish,148.82,-8.85,1.67,5.56,332.34
EXC,2025-07-30,Bullish,43.69,0.28,5.06,6.65,131.36
PPG,2025-08-01,Bearish,111.7,-0.73,2.05,1.99,97.21
CAH,2025-08-14,Bearish,149.565,-3.87,2.35,2.79,118.55
AWK,2025-08-01,Bullish,143.82,1.62,1.24,2.69,217.08
KMB,2025-08-26,Bearish,129.46,-1.96,2.58,3.17,122.47
CARR,2025-08-06,Bearish,66.1,-8.4,5.12,3.58,69.89
FANG,2025-08-28,Bullish,149.83,4.8,2.05,1.06,51.76
BALL,2025-08-15,Bearish,52.46,-5.71,2.48,1.4,56.38
LYB,2025-08-01,Bearish,57.14,-6.53,4.43,10.56,238.33
VTR,2025-07-22,Bullish,67.855,5.08,3.07,2.8,91.23
DGX,2025-08-12,Bullish,180.94,4.56,1.33,0.76,57.27
AKAM,2025-07-31,Bearish,78.86,-0.15,1.34,1.73,129.27
WRB,2025-08-20,Bullish,71.8,1.91,1.92,1.28,66.8
FE,2025-07-25,Bullish,43.725,7.22,4.01,5.69,141.77
DRI,2025-07-28,Bearish,207.51,-1.24,1.15,1.23,106.16
TTWO,2025-08-26,Bullish,234.83,2.31,1.88,2.17,115.26
JBHT,2025-08-08,Bearish,145.04,-0.14,1.19,0.99,83.36
BBY,2025-08-19,Bullish,73.85,6.14,3.08,5.74,186.14
IP,2025-08-11,Bearish,49.3,-0.18,5.21,3.12,59.87
CF,2025-08-11,Bearish,86.93,-4.01,2.64,3.05,115.56
PFG,2025-08-26,Bullish,80.76,2.7,1.36,0.97,71.41
BXP,2025-08-29,Bullish,72.16,5.86,1.41,0.0,0.12
AEE,2025-07-21,Bullish,99.95,3.5,1.63,1.25,76.69
LW,2025-07-28,Bullish,56.42,5.36,3.12,2.31,74.07
FMC,2025-08-04,Bearish,39.51,-4.74,1.77,1.94,109.63
SEE,2025-08-25,Bullish,32.415,4.92,1.68,1.12,66.81
PNW,2025-08-28,Bearish,89.97,-1.26,1.09,1.11,102.15
REG,2025-08-05,Bullish,72.54,1.94,1.16,1.55,134.26
DOV,2025-08-07,Bearish,181.28,-0.27,1.27,0.72,56.72
IPG,2025-07-23,Bullish,26.89,8.78,8.35,8.67,103.92
OMC,2025-08-15,Bullish,78.46,6.27,3.65,3.13,85.55
DOC,2025-07-30,Bearish,17.905,-0.48,7.21,10.67,147.91
