Symbol,Crossover Date,Crossover Type,Current Price,Percentage Distance (%),Avg_Volume_20,Volume_On_Crossover,Volume_Pct_of_Avg
DECK,2026-07-01,Bearish,104.69,-0.76,2.18,2.02,92.63
ELS,2026-07-01,Bullish,66.25,4.47,1.59,1.31,82.38
GLPI,2026-06-18,Bearish,43.95,-6.21,2.31,3.79,164.09
WMS,2026-06-29,Bullish,152.17999,6.57,1.14,0.85,74.82
OVV,2026-06-18,Bearish,52.96,-6.1,3.05,7.14,234.1
TTC,2026-06-26,Bullish,97.080002,5.13,1.22,1.18,96.39
NLY,2026-06-26,Bullish,22.56,2.19,9.07,12.86,141.78
TPX,2026-06-30,Bullish,78.43,6.05,3.05,1.81,59.42
PVH,2026-06-22,Bearish,75.23,-9.23,1.39,1.38,99.32
GPK,2026-06-24,Bullish,10.85,2.71,7.52,6.18,82.21
OHI,2026-06-29,Bullish,49.4,6.71,2.66,1.8,67.61
ORI,2026-07-01,Bullish,41.87,5.76,1.72,4.16,242.3
RRC,2026-05-27,Bearish,37.81,-9.07,2.41,2.77,115.04
FLR,2026-06-08,Bullish,49.45,4.03,2.91,2.31,79.16
STAG,2026-06-24,Bullish,39.16,2.78,1.37,1.86,136.11
NOV,2026-06-24,Bearish,18.02,-9.43,4.58,6.37,138.93
DAR,2026-06-17,Bearish,56.53,-3.27,1.98,2.59,130.55
WH,2026-06-18,Bullish,82.41,1.38,1.43,1.58,110.7
OGE,2026-06-15,Bullish,49.44,4.26,1.34,0.7,51.89
ESNT,2026-06-29,Bullish,64.85,7.77,1.11,1.05,94.37
PR,2026-06-15,Bearish,18.2,-8.0,9.18,16.65,181.34
CPRI,2026-07-01,Bearish,18.96,-1.58,2.91,2.62,90.04
FLS,2026-07-01,Bearish,72.34,-4.17,2.01,1.81,90.04
MTG,2026-06-29,Bullish,28.23,6.69,1.97,1.79,90.99
TKO,2026-06-02,Bullish,194.42,0.08,1.5,1.14,76.05
GTLS,2026-06-22,Bullish,208.72,0.62,1.26,0.93,73.79
BYD,2026-06-05,Bullish,87.44,4.27,1.03,1.19,115.37
RYN,2026-06-23,Bullish,21.49,2.58,2.7,2.83,104.54
LPX,2026-06-24,Bullish,79.31,6.18,1.07,1.86,174.49
HOMB,2026-06-12,Bullish,28.68,6.17,1.47,1.3,88.73
AM,2026-06-23,Bullish,22.955,6.42,2.38,2.16,90.73
MDU,2026-06-09,Bearish,20.71,-3.85,1.92,1.58,82.48
POR,2026-06-26,Bullish,52.72,4.23,1.35,3.74,277.93
BKH,2026-06-25,Bullish,73.79,0.99,1.17,0.51,43.34
RUN,2026-06-10,Bearish,13.605,-3.18,8.33,9.08,109.02
NEOG,2026-07-02,Bullish,9.34,1.96,2.06,1.06,51.57
PNM,2026-06-09,Bearish,56.94,-3.54,1.5,2.43,162.44
SBRA,2026-06-03,Bearish,20.16,0.2,2.17,2.77,127.58
ENOV,2026-06-01,Bearish,22.5,-7.0,1.24,1.34,108.38
MPW,2026-06-03,Bearish,4.62,-8.84,5.34,4.59,85.92
UAA,2026-06-30,Bullish,6.34,6.76,8.39,1.88,22.39
UA,2026-06-30,Bullish,6.135,6.49,3.64,0.44,12.09
DLR,2026-07-01,Bearish,173.3,-7.78,3.69,10.16,275.39
WMB,2026-06-23,Bullish,73.14,0.07,6.96,7.97,114.58
